,sampling_code,year,site,transf,perm,lat,lon,elevation,sensor_model,sensor_serial_number,ACI,ACTspCount,ACTspFract,ACTspMean,ACTtCount,ACTtFraction,ACTtMean,ADI,AEI,AGI,AnthroEnergy,BGNf,BGNt,BI,BioEnergy,EAS,ECU,ECV,ENRf,EPS,EPS_KURT,EPS_SKEW,EVNspCount,EVNspFract,EVNspMean,EVNtCount,EVNtFraction,EVNtMean,HFC,H_GiniSimpson,H_Havrda,H_Renyi,H_gamma,H_pairedShannon,Hf,Ht,KURTf,KURTt,LEQf,LEQt,LFC,MEANf,MEANt,MED,MFC,NBPEAKS,NDSI,RAOQ,ROIcover,ROItotal,ROU,SKEWf,SKEWt,SNRf,SNRt,TFSD,VARf,VARt,ZCR,rBA
0,BOL01,2016,A,media,media,9.9399722,-75.1685,180,SM3,5072,296.07429733276365,30.060861545138888,0.14047131563149007,7.060493782990509,18.90277777777778,0.08791989664082683,6.9314259278242965,2.043186113496811,0.0520439741793526,1.243405505683687,0.3938589939356057,-35.58087529438788,-23.673184539874395,82.48488560169439,0.07172392379272621,0.0217060015304905,0.29603245402044165,0.18095858979125654,-32.56414081794475,1.0,44.39520877474159,5.015900868315378,0.08580776447421504,0.010863991615556809,0.028284836892365137,2.0635986328125004,0.08791989664082682,0.03866299795631971,0.13005178200563708,0.9171816707200681,0.3247926065720228,2.688663379268514,25138.560006135845,5.0012632022301355,0.6489402269358601,0.9350838510324394,65.89158090107365,5.6243057558090195,60.43585901126152,61.461685140927635,0.13520093823585327,0.0006584939275651082,-7.130815858846399e-10,0.07633995981369578,0.14648230399363918,15.922222222222222,-0.06887503940831974,0.5039173781667342,2.3197732610494546,18.219444444444445,0.5387923235358256,6.25174735748917,-0.0204012801798006,3.0167344764431308,1.2104688524372047,0.48095182978237666,4.137522299193952e-06,0.004143496929565168,6508.543333333334,2.357065645740982
1,BOL02,2016,B,media,baja,9.9399722,-75.1698611,160,SM3,5070,299.8002235624525,33.31719292534722,0.1556878174081645,8.963703865495821,26.639756944444443,0.12390584625322994,5.283785469400945,2.0531461030377693,0.06682089993000047,1.31478167232126,0.14307924160190544,-30.25081078533328,-18.05365736761855,114.55558561394754,1.218702743986392,0.050812832624666654,0.34926461281401794,0.21537768631361423,-26.616464527130447,1.0,52.5452804141901,5.610692539699164,0.16924385593530714,0.02362081145447977,0.050596954351169704,2.963296052451446,0.12390584625322992,0.04408962298965555,0.14657769966436726,0.9514889822712576,0.3305282093620434,2.998186653945595,25476.628371149578,5.2609534842065635,0.6871876663665933,0.9520397838896568,44.381765545911044,8.518713213864155,66.38353530671095,66.87800868931744,0.13793999230324833,0.001421165148889839,6.874751871684632e-11,0.16099236173936834,0.1640244266833225,19.110243055555557,0.3331462844018663,0.4576002202124646,4.625125936506198,19.8515625,2.708907019982386,5.03017072220424,0.03048650775743538,3.6343462582028394,1.3041292025914624,0.6539639777361622,1.0617458192214706e-05,0.0070843531686426925,7344.299826388889,32.73318282091228
2,BOL03,2016,C,media,alta,9.9359444,-75.1593611,180,SM3,5067,298.59720386399164,33.07165188259549,0.15454042935792278,8.242975240573287,21.83940972222222,0.10157864987080097,4.874936529219046,2.058675019873215,0.05541784343127004,1.296420370021628,1.0696119361317769,-31.07525435589199,-19.034101687992614,110.30753128493876,0.49668106196541983,0.03357136296823116,0.3464281875069667,0.20408260234453524,-27.907870632564794,1.0,46.869021010786945,5.301019933657246,0.1625558929823933,0.022403823995144526,0.047008858486920845,2.303310643846744,0.10157864987080097,0.04452699628128463,0.14416264510087518,0.9294279213851647,0.32631439600848416,2.8564952445319958,23425.675534916634,5.066629956683351,0.6582852712497519,0.9606046039967886,56.63139993196075,4.792890922475247,65.09212920113242,66.01041310777266,0.13625649927602995,0.0012087921886884242,-1.3489042169148049e-10,0.14574243498403422,0.16359808318253938,17.50954861111111,0.21512269246937243,0.43997937711597096,4.390688031633323,21.109375,2.000513387905408,5.648961708119959,-0.017888616555529566,3.1673837233271938,1.002369720967383,0.6147323479462001,1.2904483945616164e-05,0.014027990754837195,6605.511458333333,21.381222608659908
3,BOL04,2016,D,baja,alta,9.9081944,-75.1874167,365,SM3,5071,299.1296766599019,32.43470255533854,0.15156403063242305,8.089299814568626,14.64236111111111,0.0681040051679586,8.560600465991431,2.0716569626737584,0.04183101779976986,1.2739889071219497,0.06541081206928029,-36.53407520449074,-24.930999498400425,126.15624237744866,0.28091258036490924,0.03868733829837753,0.3877680501090877,0.22866012473296526,-33.989315800369795,1.0,63.0280013199646,6.349325258607803,0.1415517128689188,0.018728808821918762,0.041815528460369684,2.2280185022086743,0.0681040051679586,0.03149300953261108,0.14512840036715616,0.9685034574799324,0.3325964629822301,3.4419141251386867,22454.98971535883,5.2730926308366985,0.6875630663745871,0.8691670443618419,19.92550261919571,16.809453702129936,59.01068402977421,59.07482709321711,0.13185794739882695,0.0006450750926836826,-1.9632617579051693e-09,0.08163306252552295,0.15910640908327586,16.524305555555557,0.3110261759049738,0.3614671213785019,4.0158169787001885,23.41840277777778,0.4887128771984458,3.6756500225396502,-0.1599707191154692,2.5447594041209545,1.5374280860285379,0.6264103115277572,2.126972660733263e-06,0.0016362494972162575,6279.242708333334,14.773105787805333
4,BOL05,2016,E,baja,media,9.8986111,-75.1917778,365,SM3,5071,297.0944202211168,31.521959092881943,0.14729887426580343,7.633366703780161,14.42013888888889,0.06707041343669246,9.907496842659182,2.0741157439538034,0.029491714250026835,1.257463854013218,0.02682437097650508,-38.92591151887694,-27.218919197718304,111.61523212120495,0.09563350006747992,0.030486332202635327,0.32908857005962094,0.1885354532836661,-36.307078181480726,1.0,61.95667840765676,6.067374149403996,0.12231190719514941,0.016600453346070174,0.04044578439117951,2.0858194226416473,0.06707041343669246,0.03319795474586445,0.1394138944518617,0.9715012503446714,0.3327715014344474,3.477516224814786,23593.60197995406,5.363748640649849,0.7018376801407786,0.8491313948026471,18.59249414122076,12.077295704567044,56.69292164649628,56.764312990837624,0.13245565683822555,0.00045289175818647484,2.803520397000287e-10,0.054745625174190383,0.15437578609885907,16.17013888888889,0.17895073558399113,0.3620148721083958,3.5235950632382527,21.88715277777778,0.18099453429426327,3.573124349574083,-0.20549448587140695,2.6188333373962065,1.6941215739481978,0.5619730678024806,9.20792430537788e-07,0.0006085381400124414,5875.442013888888,10.081571294154855
5,BOL06,2016,F,baja,baja,9.9033611,-75.1849167,387,SM2,3786,298.5217425028483,32.2940925719246,0.15090697463516164,8.199105794940676,23.802579365079364,0.11070967146548537,4.870571418761235,2.0154055381392695,0.09712799451841735,1.2888711921515918,0.5300769391016931,-32.03527771564889,-20.303465725824474,94.18938306192186,0.27134621641755713,0.03701404965563059,0.33633952492233427,0.2049329579229348,-28.47024074767335,1.0,54.369292645970575,5.717983925404789,0.14034095504474187,0.01882048605316343,0.04275392785958933,2.4760308666764024,0.11070967146548537,0.04166419981410913,0.14297532291732887,0.9034401972598899,0.32274713516467185,2.7366582199576355,21417.87711174146,4.819279890093538,0.6210716423293026,0.9583909002377873,67.61666020661539,5.647143133105087,64.52975908058774,64.9755735577099,0.13937329846158986,0.0010943758621463043,-1.7982306343533503e-11,0.12574881280676298,0.1573069648420115,18.84325396825397,0.16072891784313556,0.45471061570100246,3.545538655128134,23.67063492063492,1.1574390472064444,6.232603287717769,-0.04017367753585052,3.5650369679755367,1.0732690311842672,0.6141789827407116,7.518965130745466e-06,0.005418343668304485,7958.912896825396,17.165487148141857
6,BOL08,2016,H,alta,media,9.888111,-75.140528,298,SM3,5069,296.40479469299316,31.10442437065972,0.14534777743298932,7.652701449890931,19.70138888888889,0.09163436692506455,6.733953875678402,2.0187766349516343,0.08033057234396151,1.2609914893077478,0.32689722632898743,-33.39917735459171,-21.17368387720651,84.66936196440382,0.8745895447726879,0.03448325138548392,0.35965744691717094,0.2231523015061538,-30.156433058586817,1.0,49.45932967835578,5.500537752797168,0.10913137538891998,0.0141341703579309,0.034886430658728415,2.127745441187208,0.09163436692506455,0.03858204698714851,0.1362747552291944,0.9131154736096505,0.3235733590817189,2.7192932669487266,24171.66714973542,5.003199372854498,0.6497267865108793,0.9322870788666369,67.41660491204705,4.806301914113643,62.84356676899173,64.12705255879297,0.13600123586795954,0.001117874723705478,1.1743496593759186e-09,0.13576252556069646,0.15175659894649896,17.40972222222222,0.0028962337269654703,0.5206909506303306,2.7067824192383827,21.510416666666668,1.5987298498835623,6.185873092065123,-0.015283394308538666,3.242744296004891,1.254969222671611,0.5200233144892586,1.266981651412808e-05,0.01054032356331739,7314.611805555556,16.10933333877377
7,BOL09,2016,I,alta,alta,9.89595,-75.16186,341,SM3,5071,298.1562062970869,33.37316711242492,0.15594937903002296,8.18708749952259,18.804054054054053,0.08746071653048393,8.57017199056489,2.074572187845882,0.030124936934790954,1.2929845420089927,0.024524537337784452,-37.82424204364988,-25.837274614397113,119.66891914448462,0.12952471995067585,0.03270384851837911,0.34087366188211,0.20956493502887832,-34.814733778185946,1.0,47.07449666276964,5.319636528522518,0.16858035909117602,0.02297912051215931,0.04806356346092792,2.140568759472089,0.08746071653048393,0.047552867487677355,0.1503815397506986,0.9762038490621376,0.33283344496655254,3.7372942225890116,28185.295420981878,5.610665242235224,0.7410374133079921,0.8825304890055513,16.029536148736337,9.104783432880717,58.18526605506949,58.24277809074333,0.13309391726859146,0.0005885075257024156,-8.385131801201165e-10,0.06320520588854049,0.16387737325555402,16.925675675675677,0.3188384694546145,0.41393564701785796,3.9363943199917206,19.21021021021021,0.21798064321273933,3.0852554138401467,-0.12085318975984945,3.0095082654639365,1.6172184488615833,0.6138939420292685,9.423728826341183e-07,0.0007424531712384259,6785.122672672673,11.066312726479381
8,BOL10,2017,A,media,media,9.939944,-75.168444,106,SM2,3785,295.74632024795176,34.58688997272296,0.1616209811809484,8.619851952561241,21.958254269449714,0.1021314152067428,4.845316665131339,2.070800067923346,0.0344340607297717,1.3177881085518264,0.05935006213281948,-34.23222903918832,-21.770213999678862,115.67376276227337,0.2598773030633994,0.04016465395456696,0.35305239129333843,0.2091863551368663,-30.70811093784587,1.0,60.50109519111662,6.21462367220048,0.19899252011117938,0.02973467624632755,0.05525794980032477,1.8182049302612215,0.1021314152067428,0.0681582281280885,0.1581068242793047,0.9675423308986355,0.33110535425630144,3.6330539727045115,30642.64594312676,5.686359875417827,0.7540480961500551,0.9588914408002568,31.135910252676233,5.136461760317672,62.29188889159254,62.433636096517624,0.1396228012705504,0.0009787722630374247,-1.5961800495121723e-11,0.10339580101398706,0.1683398819230732,20.736242884250473,0.47347115982572546,0.5374445068519089,5.139432414603617,18.69765970904491,0.47227049832321244,3.799305610219402,-0.024378981379656533,3.5241181013424505,0.9855735651455975,0.6836118460512101,2.682946019347636e-06,0.0020545589188758215,10214.569133459836,28.31875653314545
9,BOL11,2017,C,media,alta,9.936194,-75.159306,171,SM2,3786,296.7827161345819,31.6610169073548,0.14794867713717189,7.462918325280301,18.96212121212121,0.0881959126145172,4.8254930349637055,2.07394827382008,0.029927043822967347,1.2624902927664796,0.10358805203930274,-31.118566597001593,-19.096786153587427,109.7800332960415,0.8469524146081183,0.020526704269371455,0.3157565603628668,0.18847816419834776,-27.984063915672923,1.0,53.23928371822428,5.679573919797565,0.12564407776829725,0.016345103064081188,0.041487110438699154,1.7533969149917696,0.0881959126145172,0.04972140430084946,0.14296423008455714,0.9691839743353546,0.33192594579316853,3.547418997519546,34025.51868804254,5.68353368658008,0.7533706220913734,0.9666724551825817,29.13739765211845,4.8918053647696915,65.01593591580563,65.11738518271784,0.13768513920300807,0.0013570515427338424,-3.3167448573683737e-12,0.14520708761163845,0.1526432530324683,19.279671717171716,0.32707163075970086,0.5037115568066212,3.2233349945866374,20.309343434343436,1.147972471688667,3.9039726421595704,-0.003217416946932128,3.1345026813286623,0.8955948934561074,0.6527541778755911,6.764400755135304e-06,0.004761101594413733,8624.080934343436,28.895947747186504
