"","region","watershed","family","genus","epithet","code","Trans","Number"
"840","Caribe","Cesar","PIPERACEAE","Piper","sp2","Pipesp2","Medium",1
"841","Caribe","Bolivar","FABACEAE","Piptadenia","flava","Piptflav","Medium",3
"842","Caribe","Cesar","FABACEAE","Piptadenia","sp","Piptsp","Medium",1
"843","Caribe","Bolivar","NYCTAGINACEAE","Pisonia","aculeata","Pisoacul","Medium",2
"844","ValleMagdalena","Huila","FABACEAE","Pithecellobium","lanceolatum","Pithlanc","Medium",28
"845","Caribe","Guajira","RUBIACEAE","Pittoniotis","sp","Pittsp","Medium",1
"846","Caribe","Bolivar","RUBIACEAE","Pittoniotis","trichantha","Pitttric","Medium",4
"847","Caribe","Bolivar","FABACEAE","Platymiscium","hebestachyum","Plathebe","Medium",1
"848","Caribe","Cesar","FABACEAE","Platymiscium","hebestachyum","Plathebe","Medium",1
"849","Caribe","Cesar","RUBIACEAE","Pogonopus","speciosus","Pogospec","Medium",18
"850","Caribe","Cesar","MORACEAE","Poulsenia","armata","Poularma","Medium",2
"851","Caribe","Guajira","MORACEAE","Poulsenia","armata","Poularma","Medium",3
"852","ValleMagdalena","TolimaS","SAPOTACEAE","Pouteria","caimito","Poutcaim","Medium",2
"853","Caribe","Cesar","SAPOTACEAE","Pouteria","durlandii","Poutdurl","Medium",11
"854","ValleMagdalena","TolimaS","SAPOTACEAE","Pouteria","hispida","Pouthisp","Medium",13
"855","Caribe","Cesar","BURSERACEAE","Protium","tenuifolium","Prottenu","Medium",21
"856","Caribe","Guajira","BURSERACEAE","Protium","tenuifolium","Prottenu","Medium",20
"857","ValleMagdalena","TolimaS","FABACEAE","Pseudosamanea","guachapele","Pseuguac","Medium",2
"858","Caribe","Cesar","MALVACEAE","Pseudobombax","septenatum","Pseusept","Medium",1
"859","ValleMagdalena","Huila","MALVACEAE","Pseudobombax","septenatum","Pseusept","Medium",2
"860","ValleMagdalena","Huila","RUBIACEAE","Psychotria","sp","Psycsp","Medium",4
"861","Caribe","Cesar","FABACEAE","Pterocarpus","acapulcensis","Pteracap","Medium",49
"862","Caribe","Bolivar","MALVACEAE","Pterygota","colombiana","Ptercolo","Medium",1
"863","Caribe","Bolivar","FABACEAE","Pterocarpus","officinalis","Pteroffi","Medium",1
"864","Caribe","Bolivar","MALVACEAE","Quararibea","sp1","Quarsp1","Medium",2
"865","Caribe","Bolivar","MALVACEAE","Quararibea","sp2","Quarsp2","Medium",4
"866","Caribe","Bolivar","SIMAROUBACEAE","Quassia","amara","Quasamar","Medium",1
"867","Caribe","Bolivar","RUBIACEAE","Randia","armata","Randarma","Medium",1
"868","Caribe","Cesar","RUBIACEAE","Randia","sp1","Randsp1","Medium",1
"869","ValleMagdalena","TolimaS","RUBIACEAE","Randia","sp2","Randsp2","Medium",5
