"","region","watershed","family","genus","epithet","code","Trans","Number"
"129","ValleMagdalena","Huila","NYCTAGINACEAE","Guapira","costaricana","Guapcost","High",26
"130","ValleCauca","Valle del Cauca","NYCTAGINACEAE","Guapira","costaricana","Guapcost","High",78
"131","Caribe","Bolivar","NYCTAGINACEAE","Guapira","sp2","Guapsp2","High",4
"132","Caribe","Guajira","MELIACEAE","Guarea","guidonia","Guarguid","High",23
"133","Caribe","Bolivar","MALVACEAE","Guazuma","ulmifolia","Guazulmi","High",159
"134","Caribe","Guajira","MALVACEAE","Guazuma","ulmifolia","Guazulmi","High",41
"135","ValleMagdalena","Huila","MALVACEAE","Guazuma","ulmifolia","Guazulmi","High",23
"136","ValleMagdalena","TolimaS","MALVACEAE","Guazuma","ulmifolia","Guazulmi","High",69
"137","ValleCauca","Valle del Cauca","MALVACEAE","Guazuma","ulmifolia","Guazulmi","High",276
"138","Caribe","Bolivar","RUBIACEAE","Guettarda","malacophylla","Guetmala","High",1
