"","Site","region","FIntMeanx","FIntcofv","MSPAdynM","MSPAdynCf","ESAcmeant","ESAccfvt","DisAmeanest","DisAmeanadjR2","DisAcoefvadjR2","DisVmeanest","DisVmeanadjR2","DisVcoefvest","DisVcoefvadjR2","Tmaxp90Feb","Tmaxp90Jul","TmaxRadj","Tmaxsigma","Precp10May","HumeRadj","Humesigma","evi90trend","evi90season","evi90peak","Seasigmaevi","Seasigcvevi","BNBmeanIndx","BNBmeantmpvarx","BNBcoefvIndx","BNBcoefvtmpvarx","CHeiMeanx","CHeiStdx","area","perimetro","DecLat","DecLong","DistMeanx"
"1",154,"Caribe",2.59440057430007,0.746977556392298,0,NA,23,0,-25.632632074308,0.886213814299884,0.914987360991038,-58.2301764495341,0.56035532712494,0.000944123819546897,0.49190008951363,35.2000007629395,33.7299995422363,0.614517545663658,0.463549011474331,197.190002441406,0.6020395729234,2.28408114417713,0.20153290080308,0.691471861763343,1.65426199824194,0.0671206767231855,0.178101922688319,31.545567035675,1.60007280111313,0.980595104584602,0.73621236020366,6.82292849035187,2.26042454894462,1224431,9290,8.30563,-73.6646,0.0748663101604278
"2",153,"Caribe",7.55660377358491,1.73052445661224,0,NA,23,0,-4.40913667482334,0.312866721941716,0.628636609643412,-7.1330898639227,0.525337664287227,0.00688490679305135,0.372780397439671,34.3800010681152,33.1100006103516,0.568789760775462,0.444533129604997,215.539993286133,0.49895388741014,2.04383569143459,0.0710737954455194,0.527765343055712,1.87296768654321,0.0801123029097549,0.214359387369362,0,NA,NA,NA,10.0415754923414,2.75068175984781,470125,3164,8.37695,-73.6164,0.103792415169661
"3",94,"Caribe",10.0237639318505,2.45829212779145,9.22683421064796,0.138226757618728,22.9010416666667,0.0130730618883075,0.705803558918302,0.302946703496449,0.614965023758678,-29.9069200033639,0.574369937642593,0.00267782166560751,0.564244676526317,32.2299995422363,32.5299987792969,0.543564642339562,0.336575124128202,136.921997070312,0.766339732293203,1.32800220448104,0.238955411973975,0.811561181705127,4.34266024873907,0.0815666498381899,0.196531118197445,0.0342889174838395,0.459663553784291,0.91669708129529,0.683476100187934,13.302211431889,2.90570642149684,17914864,32706,10.6548,-75.197,0.186099822861311
"4",17,"Caribe",13.4192557186753,4.49000962836597,-38.1368449414085,-1.12875917628377,22.9233576642336,0.0116261272597717,-9.24741640493944,0.369823606477111,0.4600067174373,-0.503824813860931,0.708965464519564,4.582505566058e-05,0.118172634328671,29.5870000839233,30.4200000762939,0.114244150230237,1.30268174107625,189.982998657227,0.543166735937322,1.63403455092692,0.0547725690851975,0.390573395000788,1.79442066942642,0.085489333149148,0.296378702709998,1.72506243735552,0.435660568997264,1.14738156353776,0.209415386550215,16.4251769987912,2.23886687868187,25719420,60657,11.1366,-74.1331,0.293644466990362
"5",151,"Caribe",13.2635379061372,5.09207354597436,0,NA,23,0,-2.07276849608049,0.481635914002543,0.329824176483324,-0.686528103818897,0.620935639840689,5.66568909710725e-05,0.805134132500688,33.0049991607666,32.0999984741211,0.0820319422791718,1.05077791257948,206.605003356934,0.383416817489455,1.89548977248443,0.043847602694137,0.375232222972099,2.2790976727351,0.105575133354499,0.1752121287835,0.0755904413138827,0.414512008428574,0.680501862251203,0.214891516881283,15.8542890716804,2.27620216327636,742623,11797,8.41635,-73.5945,0
"6",156,"Caribe",5.8641765704584,1.18044300591597,0,NA,22.8,0.0196146313815771,-7.5900603535248,0.614941176054876,0.869446779737826,-0.4732428920312,0.840360793511072,0.000724047900071365,0.818322535686139,34.8899993896484,33.4900016784668,0.541897394522758,0.505256603527995,200.915000915527,0.598302182906914,2.2693887635385,0.0765341999920941,0.526316307812085,2.13599215065268,0.0736725426948939,0.165595163346228,0.716970972716808,0.620857238769531,1.25752386369449,0.119630584161166,9.87948717948718,2.96653827730824,514508,8846,8.31523,-73.6196,0
"7",196,"Caribe",3.69230769230769,0.84079231678544,0,NA,23,NA,0.424595348514015,0.575462512171371,0.575462512171374,-0.70375029988206,0.808555685431808,0.000189661016381836,0.404117043573712,34.8199996948242,33.3899993896484,0.688996073638715,0.515448417181946,189.144996643066,0.74533535528856,1.64722127608793,0.154551898062853,0.613066284754521,3.20829717439325,0.0772738905693329,0.251995191181034,0.0188438883051276,0.436442377977073,0.561640762136007,0.65884338954002,7.14893617021277,3.08641646542272,125044,1858,10.1092,-75.1525,1.15037593984962
"8",152,"Caribe",3.27011494252874,0.832772048130954,0,NA,23,0,-14.0703752593288,0.734477939323297,-0.370928851914257,-87.1536526432799,0.571203778593099,0.000560842111209641,0.602097025678001,35.1570003509521,33.7769992828369,0.587440327918179,0.464914715668393,210.219006347656,0.535234339579725,2.11876117364889,0.151654472152913,0.734793538103692,3.61110896096483,0.0683546917521403,0.178681781940793,0,NA,NA,NA,7.40528634361233,2.71240485040707,311423,3960,8.36337,-73.6472,0.0699088145896656
"9",161,"Caribe",7.62623762376238,1.60641841337083,-0.97181438216697,-0.257407140110595,23,0,-66.7007362400581,0.567489964194194,0.534252249106874,-0.652067005197334,0.316116233235395,0.000204990406325503,0.61805543785561,35.2820007324219,33.9660003662109,0.533054946407386,0.566135354609822,258.343994140625,0.634905371243256,2.49291677161376,0.064849814399798,0.489303307311516,1.63806850987399,0.0698520746466018,0.284532489575795,3.57434967160225,0.625044572353363,0.955773343708842,0.334653687530388,9.46470588235294,2.93216143991081,355676,9725,9.13347,-73.6195,0.27012987012987
"10",164,"Caribe",2.88805970149254,0.775346868856137,0,NA,23,0,-11.7670482312345,0.489433822414459,0.634151831330606,-0.467443214303216,0.468621751931564,0.000429122874787285,0.711810296272112,35.3479988098145,34.0079986572266,0.539315096360173,0.572256544881862,261.80299987793,0.630181823066998,2.51115416473133,0.161795522047268,0.576218225284899,1.15221910821756,0.0576503959525422,0.270044252728414,2.67658530424039,0.602503955364227,1.70060510028398,NA,6.22413793103448,2.11131540812146,118321,5480,9.14858,-73.6345,0.928571428571429
