"","Estacion","State","AsocPlot","Species","Trans","Perm","Number"
"1488","Censo","Valle","T1P1","Atta cephalotes","High","Med",2
"1489","Recenso","Valle","T1P1","Atta cephalotes","High","Med",2
"1490","recenso","Guajira","T3P1","Atta cephalotes","High","Med",1
"1491","Censo","Huila","T3P2","Atta cephalotes","High","Med",3
"1492","Censo","Valle","T3P3","Atta cephalotes","High","Med",2
"1493","Recenso","Valle","T3P3","Atta cephalotes","High","Med",16
"1494","Censo","Tolima","T1P3","Atta colombica","High","Med",1
"1495","Recenso","Tolima","T1P3","Atta colombica","High","Med",2
"1496","Recenso","Bolivar","T3P2","Atta colombica","High","Med",2
"1497","Censo","Valle","T1P1","Brachymyrmex heeri","High","Med",4
"1498","Recenso","Valle","T1P1","Brachymyrmex heeri","High","Med",3
"1499","Recenso","Tolima","T1P3","Brachymyrmex heeri","High","Med",18
"1500","Censo","Valle","T2P1","Brachymyrmex heeri","High","Med",1
"1501","Recenso","Bolivar","T3P2","Brachymyrmex heeri","High","Med",11
"1502","Censo","Huila","T3P2","Brachymyrmex heeri","High","Med",2
"1503","Recenso","Huila","T3P2","Brachymyrmex heeri","High","Med",3
"1504","Censo","Valle","T3P3","Brachymyrmex heeri","High","Med",9
"1505","Recenso","Valle","T3P3","Brachymyrmex heeri","High","Med",3
"1506","Recenso","Bolivar","T3P2","Brachymyrmex incisus","High","Med",2
"1507","Censo","Huila","T3P2","Camponotus brevis","High","Med",1
"1508","Recenso","Huila","T3P2","Camponotus brevis","High","Med",1
"1509","Censo","Huila","T3P2","Camponotus coruscus","High","Med",1
"1510","recenso","Guajira","T3P1","Camponotus planatus","High","Med",1
"1511","Censo","Bolivar","T3P2","Camponotus zonatus","High","Med",1
"1512","Censo","Valle","T3P3","Cardiocondyla wroughtoni","High","Med",1
"1513","Recenso","Valle","T3P3","Cardiocondyla wroughtoni","High","Med",16
"1514","Censo","Valle","T1P1","Carebara brevipilosa","High","Med",197
"1515","Recenso","Valle","T1P1","Carebara brevipilosa","High","Med",1
"1516","Censo","Bolivar","T3P2","Cephalotes colombica","High","Med",1
"1517","Censo","Valle","T1P1","Cephalotes maculatus","High","Med",1
"1518","Recenso","Bolivar","T3P2","Cephalotes minutus","High","Med",1
"1519","Censo","Valle","T1P1","Crematogaster","High","Med",1
"1520","Censo","Valle","T2P1","Crematogaster","High","Med",1
"1521","Recenso","Bolivar","T3P2","Crematogaster","High","Med",15
"1522","Censo","Huila","T3P2","Crematogaster","High","Med",1
"1523","Recenso","Huila","T3P2","Crematogaster","High","Med",1
"1524","Censo","Valle","T3P3","Crematogaster","High","Med",10
"1525","Recenso","Valle","T3P3","Crematogaster","High","Med",6
"1526","Censo","Bolivar","T3P2","Crematogaster crinosa","High","Med",2
"1527","Censo","Bolivar","T3P2","Crematogaster limata","High","Med",5
"1528","Recenso","Tolima","T1P3","Cyphomyrmex costatus","High","Med",10
"1529","Recenso","Bolivar","T3P2","Cyphomyrmex costatus","High","Med",1
"1530","Censo","Guajira","T3P1","Cyphomyrmex minutus","High","Med",14
"1531","recenso","Guajira","T3P1","Cyphomyrmex minutus","High","Med",7
"1532","Censo","Valle","T1P1","Cyphomyrmex rimosus","High","Med",10
"1533","Recenso","Valle","T1P1","Cyphomyrmex rimosus","High","Med",16
"1534","Censo","Tolima","T1P3","Cyphomyrmex rimosus","High","Med",21
"1535","Recenso","Tolima","T1P3","Cyphomyrmex rimosus","High","Med",30
"1536","Recenso","Bolivar","T3P2","Cyphomyrmex rimosus","High","Med",6
"1537","Censo","Huila","T3P2","Cyphomyrmex rimosus","High","Med",1
"1538","Recenso","Huila","T3P2","Cyphomyrmex rimosus","High","Med",29
"1539","Censo","Valle","T3P3","Cyphomyrmex rimosus","High","Med",1
"1540","Recenso","Valle","T3P3","Cyphomyrmex rimosus","High","Med",1
"1541","Censo","Valle","T1P1","Discothyrea","High","Med",2
"1542","Recenso","Bolivar","T3P2","Discothyrea","High","Med",1
"1543","Censo","Huila","T3P2","Discothyrea","High","Med",1
"1544","Censo","Guajira","T3P1","Discothyrea horni","High","Med",2
"1545","Censo","Guajira","T3P1","Discothyrea neotropica","High","Med",3
"1546","recenso","Guajira","T3P1","Discothyrea neotropica","High","Med",2
"1547","Censo","Bolivar","T3P2","Discothyrea neotropica","High","Med",1
"1548","Censo","Huila","T3P2","Dolichoderus bispinosus","High","Med",8
"1549","Recenso","Huila","T3P2","Dolichoderus bispinosus","High","Med",3
"1550","Censo","Valle","T3P3","Dorymyrmex brunneus","High","Med",57
"1551","Recenso","Valle","T3P3","Dorymyrmex brunneus","High","Med",128
"1552","Censo","Tolima","T1P3","Ectatomma ruidum","High","Med",132
"1553","Recenso","Tolima","T1P3","Ectatomma ruidum","High","Med",233
"1554","Censo","Guajira","T3P1","Ectatomma ruidum","High","Med",17
"1555","recenso","Guajira","T3P1","Ectatomma ruidum","High","Med",11
"1556","Censo","Bolivar","T3P2","Ectatomma ruidum","High","Med",10
"1557","Recenso","Bolivar","T3P2","Ectatomma ruidum","High","Med",45
"1558","Censo","Huila","T3P2","Ectatomma ruidum","High","Med",106
"1559","Recenso","Huila","T3P2","Ectatomma ruidum","High","Med",118
"1560","Recenso","Valle","T3P3","Ectatomma ruidum","High","Med",1
"1561","Recenso","Valle","T1P1","Ectatomma tuberculatum","High","Med",1
"1562","Censo","Bolivar","T3P2","Ectatomma tuberculatum","High","Med",1
"1563","Censo","Valle","T1P1","Fulakora orizabana","High","Med",1
"1564","Censo","Valle","T1P1","Gnamptogenys horni","High","Med",19
"1565","Recenso","Valle","T1P1","Gnamptogenys horni","High","Med",9
"1566","Censo","Guajira","T3P1","Gnamptogenys regularis","High","Med",1
"1567","Censo","Valle","T1P1","Gnamptogenys striatula","High","Med",26
"1568","Recenso","Valle","T1P1","Gnamptogenys striatula","High","Med",28
"1569","Censo","Valle","T2P1","Gnamptogenys striatula","High","Med",194
"1570","Recenso","Valle","T2P1","Gnamptogenys striatula","High","Med",132
"1571","Censo","Valle","T3P3","Gnamptogenys striatula","High","Med",2
"1572","Recenso","Valle","T3P3","Gnamptogenys striatula","High","Med",1
"1573","Censo","Valle","T1P1","Heteroponera microps","High","Med",2
"1574","Censo","Bolivar","T3P2","Hylomyrma reitteri","High","Med",1
"1575","Censo","Valle","T1P1","Hypoponera","High","Med",31
"1576","Recenso","Valle","T1P1","Hypoponera","High","Med",3
"1577","Recenso","Tolima","T1P3","Hypoponera","High","Med",3
"1578","Censo","Valle","T2P1","Hypoponera","High","Med",24
"1579","Censo","Valle","T3P3","Hypoponera","High","Med",5
"1580","Recenso","Valle","T3P3","Hypoponera","High","Med",1
"1581","Recenso","Bolivar","T3P2","Hypoponera opacior","High","Med",1
"1582","Censo","Valle","T1P1","Linepithema neotropicum","High","Med",4
"1583","Recenso","Valle","T1P1","Linepithema neotropicum","High","Med",4
"1584","Censo","Tolima","T1P3","Linepithema neotropicum","High","Med",203
"1585","Censo","Valle","T3P3","Linepithema neotropicum","High","Med",4
"1586","Recenso","Valle","T3P3","Linepithema neotropicum","High","Med",13
"1587","Recenso","Tolima","T1P3","Megalomyrmex silvestrii","High","Med",2
"1588","recenso","Guajira","T3P1","Megalomyrmex silvestrii","High","Med",3
"1589","Censo","Bolivar","T3P2","Megalomyrmex silvestrii","High","Med",1
"1590","Censo","Huila","T3P2","Megalomyrmex silvestrii","High","Med",2
"1591","Recenso","Valle","T3P3","Megalomyrmex silvestrii","High","Med",1
"1592","Recenso","Huila","T3P2","Monomorium floricola","High","Med",4
"1593","Censo","Valle","T3P3","Monomorium floricola","High","Med",1
"1594","Censo","Tolima","T1P3","Myrmicocrypta urichi","High","Med",2
"1595","Recenso","Tolima","T1P3","Myrmicocrypta urichi","High","Med",4
"1596","Recenso","Huila","T3P2","Myrmicocrypta urichi","High","Med",30
"1597","Censo","Valle","T1P1","Neivamyrmex alfaroi","High","Med",3
"1598","Recenso","Bolivar","T3P2","Neivamyrmex swainsonii","High","Med",1
"1599","Censo","Guajira","T3P1","Neoponera verenae","High","Med",1
"1600","Censo","Valle","T1P1","Nylanderia nodifera","High","Med",2
"1601","Recenso","Valle","T1P1","Nylanderia nodifera","High","Med",2
"1602","Censo","Valle","T2P1","Nylanderia nodifera","High","Med",4
"1603","Recenso","Bolivar","T3P2","Nylanderia nodifera","High","Med",110
"1604","Censo","Huila","T3P2","Nylanderia nodifera","High","Med",32
"1605","Recenso","Huila","T3P2","Nylanderia nodifera","High","Med",10
"1606","Censo","Guajira","T3P1","Nylanderia steinheili","High","Med",10
"1607","recenso","Guajira","T3P1","Nylanderia steinheili","High","Med",8
"1608","recenso","Guajira","T3P1","Octostruma","High","Med",1
"1609","Censo","Guajira","T3P1","Octostruma amrishi","High","Med",4
"1610","recenso","Guajira","T3P1","Octostruma amrishi","High","Med",7
"1611","Recenso","Valle","T1P1","Octostruma balzani","High","Med",1
"1612","Censo","Guajira","T3P1","Octostruma balzani","High","Med",4
"1613","recenso","Guajira","T3P1","Octostruma balzani","High","Med",4
"1614","Recenso","Huila","T3P2","Octostruma iheringi","High","Med",1
"1615","Censo","Guajira","T3P1","Octostruma impresa","High","Med",1
"1616","Censo","Tolima","T1P3","Odontomachus bauri","High","Med",2
"1617","Recenso","Tolima","T1P3","Odontomachus bauri","High","Med",5
"1618","Censo","Guajira","T3P1","Odontomachus bauri","High","Med",1
"1619","recenso","Guajira","T3P1","Odontomachus bauri","High","Med",3
"1620","Censo","Bolivar","T3P2","Odontomachus bauri","High","Med",1
"1621","Recenso","Bolivar","T3P2","Odontomachus bauri","High","Med",28
"1622","Censo","Huila","T3P2","Odontomachus bauri","High","Med",9
"1623","Recenso","Huila","T3P2","Odontomachus bauri","High","Med",11
"1624","Censo","Valle","T1P1","Odontomachus chelifer","High","Med",14
"1625","Recenso","Valle","T1P1","Odontomachus chelifer","High","Med",4
"1626","Censo","Valle","T2P1","Odontomachus chelifer","High","Med",3
"1627","Recenso","Valle","T2P1","Odontomachus chelifer","High","Med",3
"1628","Censo","Valle","T3P3","Odontomachus chelifer","High","Med",1
"1629","Recenso","Valle","T3P3","Odontomachus chelifer","High","Med",1
"1630","Censo","Valle","T1P1","Pachycondyla harpax","High","Med",1
"1631","Recenso","Valle","T1P1","Pachycondyla harpax","High","Med",1
"1632","Censo","Guajira","T3P1","Pachycondyla harpax","High","Med",10
"1633","recenso","Guajira","T3P1","Pachycondyla harpax","High","Med",4
"1634","Recenso","Bolivar","T3P2","Pachycondyla harpax","High","Med",5
"1635","Censo","Huila","T3P2","Pachycondyla harpax","High","Med",1
"1636","Recenso","Huila","T3P2","Pachycondyla harpax","High","Med",3
"1637","Censo","Valle","T3P3","Pachycondyla harpax","High","Med",7
"1638","Recenso","Valle","T3P3","Pachycondyla harpax","High","Med",6
"1639","Censo","Valle","T1P1","Pachycondyla impressa","High","Med",4
"1640","Recenso","Valle","T1P1","Pachycondyla impressa","High","Med",3
"1641","Censo","Guajira","T3P1","Pachycondyla impressa","High","Med",2
"1642","Censo","Bolivar","T3P2","Pachycondyla impressa","High","Med",1
"1643","Recenso","Bolivar","T3P2","Pachycondyla impressa","High","Med",1
"1644","Censo","Valle","T1P1","Paratrechina longicornis","High","Med",2
"1645","Censo","Tolima","T1P3","Paratrechina longicornis","High","Med",57
"1646","Recenso","Tolima","T1P3","Paratrechina longicornis","High","Med",16
"1647","Recenso","Huila","T3P2","Paratrechina longicornis","High","Med",6
"1648","Censo","Valle","T3P3","Paratrechina longicornis","High","Med",8
"1649","Censo","Valle","T1P1","Pheidole","High","Med",18
"1650","Recenso","Valle","T1P1","Pheidole","High","Med",8
"1651","Censo","Tolima","T1P3","Pheidole","High","Med",32
"1652","Recenso","Tolima","T1P3","Pheidole","High","Med",26
"1653","Censo","Valle","T2P1","Pheidole","High","Med",13
"1654","Recenso","Valle","T2P1","Pheidole","High","Med",5
"1655","Recenso","Bolivar","T3P2","Pheidole","High","Med",19
"1656","Censo","Huila","T3P2","Pheidole","High","Med",19
"1657","Recenso","Huila","T3P2","Pheidole","High","Med",37
"1658","Censo","Valle","T3P3","Pheidole","High","Med",9
"1659","Recenso","Valle","T3P3","Pheidole","High","Med",15
"1660","Censo","Guajira","T3P1","Pheidole scalaris","High","Med",2
"1661","Censo","Bolivar","T3P2","Pheidole scalaris","High","Med",1
"1662","Recenso","Bolivar","T3P2","Pogonomyrmex mayri","High","Med",6
"1663","Censo","Valle","T1P1","Probolomyrmex boliviensis","High","Med",1
"1664","Censo","Valle","T2P1","Pseudomyrmex boopis","High","Med",3
"1665","Censo","Huila","T3P2","Pseudomyrmex boopis","High","Med",2
"1666","Censo","Bolivar","T3P2","Rasopone arhuaca","High","Med",4
"1667","Recenso","Bolivar","T3P2","Rasopone arhuaca","High","Med",3
"1668","Recenso","Huila","T3P2","Rasopone arhuaca","High","Med",1
"1669","Censo","Valle","T1P1","Rasopone ferruginea","High","Med",1
"1670","Censo","Guajira","T3P1","Rogeria belti","High","Med",1
"1671","recenso","Guajira","T3P1","Rogeria belti","High","Med",1
"1672","Censo","Tolima","T1P3","Rogeria curvipubens","High","Med",2
"1673","Recenso","Tolima","T1P3","Rogeria curvipubens","High","Med",11
"1674","Censo","Guajira","T3P1","Rogeria curvipubens","High","Med",6
"1675","recenso","Guajira","T3P1","Rogeria curvipubens","High","Med",7
"1676","Censo","Huila","T3P2","Rogeria curvipubens","High","Med",1
"1677","Recenso","Huila","T3P2","Rogeria curvipubens","High","Med",1
"1678","Censo","Valle","T1P1","Rogeria foreli","High","Med",18
"1679","Recenso","Valle","T1P1","Rogeria foreli","High","Med",1
"1680","Censo","Tolima","T1P3","Rogeria foreli","High","Med",4
"1681","Censo","Valle","T2P1","Rogeria foreli","High","Med",25
"1682","Censo","Guajira","T3P1","Rogeria foreli","High","Med",2
"1683","recenso","Guajira","T3P1","Rogeria foreli","High","Med",1
"1684","Recenso","Bolivar","T3P2","Rogeria foreli","High","Med",3
"1685","Censo","Huila","T3P2","Rogeria foreli","High","Med",5
"1686","Recenso","Huila","T3P2","Rogeria foreli","High","Med",3
"1687","Censo","Valle","T2P1","Sericomyrmex amabilis","High","Med",21
"1688","Recenso","Valle","T2P1","Sericomyrmex amabilis","High","Med",13
"1689","Censo","Guajira","T3P1","Sericomyrmex amabilis","High","Med",1
"1690","Censo","Huila","T3P2","Sericomyrmex amabilis","High","Med",4
"1691","Recenso","Huila","T3P2","Sericomyrmex amabilis","High","Med",14
"1692","Censo","Valle","T3P3","Sericomyrmex amabilis","High","Med",1
"1693","Recenso","Valle","T3P3","Sericomyrmex amabilis","High","Med",3
"1694","Censo","Valle","T1P1","Solenopsis","High","Med",11
"1695","Recenso","Valle","T1P1","Solenopsis","High","Med",7
"1696","Censo","Tolima","T1P3","Solenopsis","High","Med",19
"1697","Recenso","Tolima","T1P3","Solenopsis","High","Med",17
"1698","Censo","Valle","T2P1","Solenopsis","High","Med",14
"1699","Recenso","Valle","T2P1","Solenopsis","High","Med",2
"1700","recenso","Guajira","T3P1","Solenopsis","High","Med",1
"1701","Recenso","Bolivar","T3P2","Solenopsis","High","Med",17
"1702","Censo","Huila","T3P2","Solenopsis","High","Med",8
"1703","Recenso","Huila","T3P2","Solenopsis","High","Med",22
"1704","Censo","Valle","T3P3","Solenopsis","High","Med",9
"1705","Recenso","Valle","T3P3","Solenopsis","High","Med",11
"1706","Censo","Guajira","T3P1","Solenopsis cf. picea","High","Med",3
"1707","recenso","Guajira","T3P1","Solenopsis cf. picea","High","Med",1
"1708","Censo","Bolivar","T3P2","Solenopsis geminata","High","Med",1
"1709","Censo","Guajira","T3P1","Solenopsis pigmea","High","Med",3
"1710","recenso","Guajira","T3P1","Solenopsis pigmea","High","Med",1
"1711","Censo","Guajira","T3P1","Solenopsis pollux","High","Med",9
"1712","recenso","Guajira","T3P1","Solenopsis pollux","High","Med",7
"1713","Censo","Bolivar","T3P2","Solenopsis pollux","High","Med",1
"1714","Censo","Bolivar","T3P2","Solenopsis stricta","High","Med",1
"1715","Censo","Guajira","T3P1","Solenopsis subterrranea","High","Med",4
"1716","Censo","Guajira","T3P1","Solenopsis vinsoni","High","Med",2
"1717","recenso","Guajira","T3P1","Solenopsis vinsoni","High","Med",1
"1718","Censo","Guajira","T3P1","Strumigenys deltisquama","High","Med",3
"1719","recenso","Guajira","T3P1","Strumigenys deltisquama","High","Med",3
"1720","Recenso","Bolivar","T3P2","Strumigenys deltisquama","High","Med",3
"1721","Censo","Huila","T3P2","Strumigenys deltisquama","High","Med",7
"1722","Recenso","Huila","T3P2","Strumigenys deltisquama","High","Med",14
"1723","Censo","Guajira","T3P1","Strumigenys eggersi","High","Med",5
"1724","recenso","Guajira","T3P1","Strumigenys eggersi","High","Med",6
"1725","Censo","Valle","T1P1","Strumigenys elongata","High","Med",16
"1726","Recenso","Tolima","T1P3","Strumigenys elongata","High","Med",9
"1727","Censo","Valle","T2P1","Strumigenys elongata","High","Med",4
"1728","Censo","Guajira","T3P1","Strumigenys elongata","High","Med",5
"1729","recenso","Guajira","T3P1","Strumigenys elongata","High","Med",4
"1730","Censo","Bolivar","T3P2","Strumigenys elongata","High","Med",1
"1731","Recenso","Huila","T3P2","Strumigenys elongata","High","Med",4
"1732","Censo","Valle","T3P3","Strumigenys elongata","High","Med",6
"1733","Censo","Valle","T1P1","Strumigenys grytava","High","Med",3
"1734","Recenso","Valle","T1P1","Strumigenys grytava","High","Med",1
"1735","Censo","Guajira","T3P1","Strumigenys grytava","High","Med",6
"1736","recenso","Guajira","T3P1","Strumigenys grytava","High","Med",4
"1737","Recenso","Bolivar","T3P2","Strumigenys grytava","High","Med",13
"1738","Censo","Valle","T1P1","Strumigenys gundlachi","High","Med",1
"1739","Recenso","Valle","T1P1","Strumigenys gundlachi","High","Med",5
"1740","Censo","Valle","T2P1","Strumigenys gundlachi","High","Med",79
"1741","Recenso","Bolivar","T3P2","Strumigenys gundlachi","High","Med",10
"1742","Recenso","Huila","T3P2","Strumigenys gundlachi","High","Med",8
"1743","Censo","Valle","T3P3","Strumigenys gundlachi","High","Med",4
"1744","Recenso","Valle","T3P3","Strumigenys gundlachi","High","Med",12
"1745","Censo","Guajira","T3P1","Strumigenys marginiventris","High","Med",1
"1746","Recenso","Huila","T3P2","Strumigenys perparva","High","Med",8
"1747","Recenso","Valle","T1P1","Tapinoma melanocephalum","High","Med",1
"1748","Censo","Tolima","T1P3","Tapinoma melanocephalum","High","Med",11
"1749","Censo","Guajira","T3P1","Tapinoma melanocephalum","High","Med",1
"1750","Censo","Huila","T3P2","Tapinoma melanocephalum","High","Med",64
"1751","Censo","Tolima","T1P3","Temnothorax subditivus","High","Med",2
"1752","Recenso","Tolima","T1P3","Temnothorax subditivus","High","Med",1
"1753","Censo","Huila","T3P2","Temnothorax subditivus","High","Med",1
"1754","Censo","Valle","T3P3","Temnothorax subditivus","High","Med",38
"1755","Recenso","Valle","T3P3","Temnothorax subditivus","High","Med",13
"1756","Censo","Guajira","T3P1","Thaumatomyrmex zeteki","High","Med",2
"1757","Censo","Guajira","T3P1","Trachymyrmex bugnioni","High","Med",1
"1758","Censo","Bolivar","T3P2","Trachymyrmex bugnioni","High","Med",2
"1759","Censo","Valle","T1P1","Trachymyrmex cornetzi","High","Med",1
"1760","Censo","Guajira","T3P1","Trachymyrmex cornetzi","High","Med",5
"1761","Censo","Bolivar","T3P2","Trachymyrmex cornetzi","High","Med",1
"1762","Recenso","Bolivar","T3P2","Trachymyrmex cornetzi","High","Med",1
"1763","Recenso","Huila","T3P2","Trachymyrmex cornetzi","High","Med",7
"1764","Censo","Valle","T3P3","Trachymyrmex cornetzi","High","Med",2
"1765","Recenso","Valle","T3P3","Trachymyrmex cornetzi","High","Med",1
"1766","Censo","Huila","T3P2","Trachymyrmex irmgardae","High","Med",1
"1767","Recenso","Huila","T3P2","Trachymyrmex irmgardae","High","Med",5
"1768","Censo","Huila","T3P2","Tranopelta gilva","High","Med",1
"1769","Recenso","Huila","T3P2","Tranopelta gilva","High","Med",2
"1770","Censo","Tolima","T1P3","Trichomyrmex destructor","High","Med",4
"1771","Censo","Guajira","T3P1","Trichomyrmex destructor","High","Med",2
"1772","recenso","Guajira","T3P1","Trichomyrmex destructor","High","Med",1
"1773","Recenso","Bolivar","T3P2","Trichomyrmex destructor","High","Med",1
"1774","Censo","Valle","T1P1","Wasmannia auropunctata","High","Med",299
"1775","Recenso","Valle","T1P1","Wasmannia auropunctata","High","Med",90
"1776","Censo","Guajira","T3P1","Wasmannia auropunctata","High","Med",19
"1777","recenso","Guajira","T3P1","Wasmannia auropunctata","High","Med",15
"1778","Recenso","Bolivar","T3P2","Wasmannia auropunctata","High","Med",13
"1779","Censo","Huila","T3P2","Wasmannia auropunctata","High","Med",65
"1780","Recenso","Huila","T3P2","Wasmannia auropunctata","High","Med",38
"1781","Censo","Valle","T3P3","Wasmannia auropunctata","High","Med",2158
"1782","Recenso","Valle","T3P3","Wasmannia auropunctata","High","Med",276
"1783","Censo","Huila","T2P1","Acromyrmex octospinosus","Low","Med",1
"1784","Censo","Guajira","T2P3","Acropyga smithi","Low","Med",17
"1785","recenso","Guajira","T2P3","Acropyga smithi","Low","Med",12
"1786","Censo","Bolivar","T2P2","Anochetus diegensis","Low","Med",4
"1787","Censo","Guajira","T2P3","Anochetus diegensis","Low","Med",4
"1788","recenso","Guajira","T2P3","Anochetus diegensis","Low","Med",1
"1789","Recenso","Huila","T2P1","Anochetus simoni","Low","Med",2
"1790","Censo","Guajira","T2P3","Apterostigma","Low","Med",1
"1791","Censo","Guajira","T2P3","Apterostigma pilosum","Low","Med",1
"1792","Recenso","Bolivar","T2P2","Atta colombica","Low","Med",1
"1793","Recenso","Tolima","T2P2","Atta colombica","Low","Med",3
"1794","Censo","Bolivar","T2P2","Brachymyrmex cavernicola","Low","Med",1
"1795","Censo","Huila","T2P1","Brachymyrmex heeri","Low","Med",3
"1796","Recenso","Huila","T2P1","Brachymyrmex heeri","Low","Med",2
"1797","Censo","Bolivar","T2P2","Camponotus brettesi","Low","Med",3
"1798","Censo","Huila","T2P1","Camponotus brevis","Low","Med",1
"1799","Recenso","Huila","T2P1","Camponotus brevis","Low","Med",1
"1800","Censo","Guajira","T2P3","Carebara brevipilosa","Low","Med",2
"1801","Recenso","Huila","T2P1","Carebara urichi","Low","Med",6
"1802","Censo","Guajira","T2P3","Carebara urichi","Low","Med",2
"1803","recenso","Guajira","T2P3","Carebara urichi","Low","Med",1
"1804","Censo","Bolivar","T2P2","Cephalotes atratus","Low","Med",2
"1805","Censo","Bolivar","T2P2","Cephalotes minutus","Low","Med",1
"1806","Censo","Huila","T2P1","Crematogaster","Low","Med",3
"1807","Recenso","Bolivar","T2P2","Crematogaster","Low","Med",7
"1808","Recenso","Tolima","T2P2","Crematogaster","Low","Med",1
"1809","Censo","Bolivar","T2P2","Crematogaster flavosensitiva","Low","Med",1
"1810","Censo","Guajira","T2P3","Crematogaster rochai","Low","Med",1
"1811","recenso","Guajira","T2P3","Crematogaster rochai","Low","Med",1
"1812","Censo","Tolima","T2P2","Cyphomyrmex costatus","Low","Med",2
"1813","Recenso","Tolima","T2P2","Cyphomyrmex costatus","Low","Med",2
"1814","Censo","Guajira","T2P3","Cyphomyrmex costatus","Low","Med",5
"1815","recenso","Guajira","T2P3","Cyphomyrmex costatus","Low","Med",1
"1816","Censo","Bolivar","T2P2","Cyphomyrmex minutus","Low","Med",3
"1817","Censo","Guajira","T2P3","Cyphomyrmex minutus","Low","Med",8
"1818","recenso","Guajira","T2P3","Cyphomyrmex minutus","Low","Med",7
"1819","Recenso","Bolivar","T2P2","Cyphomyrmex rimosus","Low","Med",1
"1820","Censo","Tolima","T2P2","Cyphomyrmex rimosus","Low","Med",2
"1821","Recenso","Tolima","T2P2","Cyphomyrmex rimosus","Low","Med",2
"1822","Recenso","Bolivar","T2P2","Discothyrea","Low","Med",4
"1823","Censo","Guajira","T2P3","Discothyrea neotropica","Low","Med",2
"1824","Censo","Huila","T2P1","Dolichoderus bispinosus","Low","Med",1
"1825","Recenso","Bolivar","T2P2","Dolichoderus bispinosus","Low","Med",2
"1826","recenso","Guajira","T2P3","Eciton mexicanum","Low","Med",1
"1827","Censo","Huila","T2P1","Ectatomma confine","Low","Med",13
"1828","Recenso","Huila","T2P1","Ectatomma confine","Low","Med",2
"1829","Censo","Tolima","T2P2","Ectatomma ruidum","Low","Med",44
"1830","Recenso","Tolima","T2P2","Ectatomma ruidum","Low","Med",9
"1831","Censo","Guajira","T2P3","Ectatomma ruidum","Low","Med",8
"1832","recenso","Guajira","T2P3","Ectatomma ruidum","Low","Med",7
"1833","Censo","Guajira","T2P3","Ectatomma tuberculatum","Low","Med",1
"1834","recenso","Guajira","T2P3","Ectatomma tuberculatum","Low","Med",1
"1835","Censo","Guajira","T2P3","Gnamptogenys ca interrupta","Low","Med",2
"1836","Censo","Guajira","T2P3","Gnamptogenys haenschi","Low","Med",1
"1837","Censo","Guajira","T2P3","Gnamptogenys triangularis","Low","Med",1
"1838","Recenso","Tolima","T2P2","Hypoponera","Low","Med",4
"1839","Recenso","Huila","T2P1","Hypoponera opacior","Low","Med",1
"1840","Recenso","Bolivar","T2P2","Labidus coecus","Low","Med",26
"1841","recenso","Guajira","T2P3","Labidus coecus","Low","Med",2
"1842","recenso","Guajira","T2P3","Leptogenys gorgona","Low","Med",1
"1843","Recenso","Bolivar","T2P2","Linepithema neotropicum","Low","Med",2
"1844","Censo","Tolima","T2P2","Linepithema neotropicum","Low","Med",8
"1845","Censo","Bolivar","T2P2","Mayaponera constricta","Low","Med",3
"1846","Censo","Guajira","T2P3","Mayaponera constricta","Low","Med",1
"1847","recenso","Guajira","T2P3","Mayaponera constricta","Low","Med",2
"1848","Censo","Bolivar","T2P2","Megalomyrmex drifti","Low","Med",1
"1849","Recenso","Bolivar","T2P2","Megalomyrmex silvestrii","Low","Med",1
"1850","Censo","Guajira","T2P3","Megalomyrmex silvestrii","Low","Med",1
"1851","Censo","Bolivar","T2P2","Monomorium floricola","Low","Med",1
"1852","Censo","Tolima","T2P2","Monomorium floricola","Low","Med",2
"1853","recenso","Guajira","T2P3","Monomorium pharaoinis","Low","Med",1
"1854","Recenso","Huila","T2P1","Mycocepurus smithii","Low","Med",1
"1855","Recenso","Tolima","T2P2","Myrmicocrypta urichi","Low","Med",20
"1856","Censo","Bolivar","T2P2","Neoponera apicalis","Low","Med",2
"1857","Recenso","Bolivar","T2P2","Neoponera laevigata","Low","Med",1
"1858","Recenso","Huila","T2P1","Neoponera verenae","Low","Med",1
"1859","Censo","Guajira","T2P3","Neoponera verenae","Low","Med",2
"1860","recenso","Guajira","T2P3","Neoponera verenae","Low","Med",2
"1861","Censo","Huila","T2P1","Nylanderia nodifera","Low","Med",2
"1862","Recenso","Huila","T2P1","Nylanderia nodifera","Low","Med",49
"1863","Recenso","Bolivar","T2P2","Nylanderia nodifera","Low","Med",2
"1864","Censo","Tolima","T2P2","Nylanderia nodifera","Low","Med",1
"1865","Recenso","Tolima","T2P2","Nylanderia nodifera","Low","Med",1
"1866","Censo","Bolivar","T2P2","Nylanderia steinheili","Low","Med",7
"1867","Censo","Guajira","T2P3","Nylanderia steinheili","Low","Med",7
"1868","recenso","Guajira","T2P3","Nylanderia steinheili","Low","Med",1
"1869","Censo","Bolivar","T2P2","Octostruma amrishi","Low","Med",7
"1870","Censo","Bolivar","T2P2","Octostruma balzani","Low","Med",4
"1871","Recenso","Huila","T2P1","Octostruma iheringi","Low","Med",2
"1872","Censo","Guajira","T2P3","Octostruma iheringi","Low","Med",7
"1873","recenso","Guajira","T2P3","Octostruma iheringi","Low","Med",3
"1874","Censo","Bolivar","T2P2","Octostruma impresa","Low","Med",1
