"","Species","Order","Family","transfC","IndNumber"
"1","Mammalia","","","Alta",1
"2","Cerdocyon  thous","CARNIVORA","Canidae","Alta",2
"3","Cuniculus  paca","RODENTIA","Cuniculidae","Alta",4
"4","Cabassous  centralis","CINGULATA","Dasypodidae","Alta",1
"5","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Alta",22
"6","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta",8
"7","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Alta",15
