"","Species","Order","Family","transfC","IndNumber"
"1","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","Low",2
"2","Cuniculus paca","RODENTIA","Cuniculidae","Low",4
"3","Cabassous centralis","CINGULATA","Dasypodidae","Low",1
"4","Dasypus novemcinctus","CINGULATA","Dasypodidae","Low",3
"5","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low",22
"6","Leopardus pardalis","CARNIVORA","Felidae","Low",2
"7","Eira barbara","CARNIVORA","Mustelidae","Low",1
"8","Cerdocyon thous","CARNIVORA","Canidae","Med",1
"9","Cuniculus paca","RODENTIA","Cuniculidae","Med",10
"10","Cabassous centralis","CINGULATA","Dasypodidae","Med",2
"11","Dasypus novemcinctus","CINGULATA","Dasypodidae","Med",5
"12","Didelphis marsupialis","DIDELPHIMORPHIA","Didelphidae","Med",20
"13","Leopardus pardalis","CARNIVORA","Felidae","Med",3
"14","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Med",10
"15","Tamandua mexicana","PILOSA","Myrmecophagidae","Med",10
"16","Procyon  cancrivorus","CARNIVORA","Procyonidae","Med",5
