"","Estacionf2","Species","Order","Family","transfC","permC","IndNumber"
"1","CTNEP01","Eira  barbara","CARNIVORA","Mustelidae","Med","High",4
"2","CTNEP01","Tamandua  mexicana","PILOSA","Myrmecophagidae","Med","High",10
"3","CTNEP01","Leopardus  pardalis","CARNIVORA","Felidae","Med","High",1
"4","CTNEP01","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Med","High",1
"5","CTNEP01","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","Med","High",1
"6","CTNEP04","Tamandua  mexicana","PILOSA","Myrmecophagidae","Med","Low",3
"7","CTNEP04","Cabassous  centralis","CINGULATA","Dasypodidae","Med","Low",1
"8","CTNEP04","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","Med","Low",1
"9","CTNEP04","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Med","Low",1
"10","CTNEP04","Leopardus  pardalis","CARNIVORA","Felidae","Med","Low",1
"11","CTNEP04","Cuniculus  paca","RODENTIA","Cuniculidae","Med","Low",1
"12","CTNEP04","Procyon  cancrivorus","CARNIVORA","Procyonidae","Med","Low",2
"13","CTNEP04","Eira  barbara","CARNIVORA","Mustelidae","Med","Low",1
"14","CTNEP05","Didelphis marsupialis","DIDELPHIMORPHIA","Didelphidae","Med","Med",9
"15","CTNEP05","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Med","Med",4
"16","CTNEP05","Leopardus  pardalis","CARNIVORA","Felidae","Med","Med",1
"17","CTNEP05","Eira  barbara","CARNIVORA","Mustelidae","Med","Med",1
"18","CTNEP07","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Med","Low",3
"19","CTNEP07","Didelphis marsupialis","DIDELPHIMORPHIA","Didelphidae","Med","Low",1
"20","CTNEP08","Cuniculus  paca","RODENTIA","Cuniculidae","Med","Low",3
"21","CTNEP08","Procyon  cancrivorus","CARNIVORA","Procyonidae","Med","Low",1
"22","CTNEP08","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Med","Low",1
"23","CTNEP08","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Med","Low",1
"24","CTNEP08","Tamandua  mexicana","PILOSA","Myrmecophagidae","Med","Low",1
"25","CTNEP08","Eira  barbara","CARNIVORA","Mustelidae","Med","Low",2
"26","CTNEP09","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low","Med",3
"27","CTNEP09","Cuniculus  paca","RODENTIA","Cuniculidae","Low","Med",2
"28","CTNEP09","Cerdocyon  thous","CARNIVORA","Canidae","Low","Med",1
"29","CTNEP09","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Low","Med",3
"30","CTNEP10","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low","Low",17
"31","CTNEP10","Leopardus  pardalis","CARNIVORA","Felidae","Low","Low",1
"32","CTNEP10","Tamandua  mexicana","PILOSA","Myrmecophagidae","Low","Low",1
"33","CTNEP10","Cuniculus  paca","RODENTIA","Cuniculidae","Low","Low",7
"34","CTNEP10","Eira  barbara","CARNIVORA","Mustelidae","Low","Low",1
"35","CTNEP10","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Low","Low",2
"36","CTNEP11","Cuniculus  paca","RODENTIA","Cuniculidae","Low","Low",2
"37","CTNEP11","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low","Low",13
"38","CTNEP11","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","Low","Low",4
"39","CTNEP11","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","Low","Low",12
"40","CTNEP11","Cabassous  centralis","CINGULATA","Dasypodidae","Low","Low",1
"41","CTNEP11","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Low","Low",5
"42","CTNEP11","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Low","Low",2
"43","CTNEP11","Eira  barbara","CARNIVORA","Mustelidae","Low","Low",1
"44","CTNEP11","Leopardus  pardalis","CARNIVORA","Felidae","Low","Low",1
"45","CTNEP11","Tamandua  mexicana","PILOSA","Myrmecophagidae","Low","Low",1
"46","CTNEP12","Cabassous  centralis","CINGULATA","Dasypodidae","Low","Low",1
"47","CTNEP12","Cerdocyon  thous","CARNIVORA","Canidae","Low","Low",1
"48","CTNEP12","Conepatus  semistriatus","CARNIVORA","Mephitidae","Low","Low",3
"49","CTNEP12","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Low","Low",1
"50","CTNEP12","Eira  barbara","CARNIVORA","Mustelidae","Low","Low",3
"51","CTNEP12","Tamandua  mexicana","PILOSA","Myrmecophagidae","Low","Low",1
"52","CTNEP12","Leopardus  pardalis","CARNIVORA","Felidae","Low","Low",1
"53","CTNEP13","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Low","Med",8
"54","CTNEP13","Tamandua  mexicana","PILOSA","Myrmecophagidae","Low","Med",3
"55","CTNEP13","Sylvilagus brasiliensis","LAGOMORPHA","Leporidae","Low","Med",2
"56","CTNEP13","Cabassous  centralis","CINGULATA","Dasypodidae","Low","Med",3
"57","CTNEP13","Eira  barbara","CARNIVORA","Mustelidae","Low","Med",1
"58","CTNEP14","Tamandua  mexicana","PILOSA","Myrmecophagidae","High","Low",4
"59","CTNEP14","Dasyprocta  punctata","RODENTIA","Dasyproctidae","High","Low",51
"60","CTNEP14","Pecari  tajacu","ARTIODACTYLA","Tayassuidae","High","Low",1
"61","CTNEP14","Mazama sanctaemartae","ARTIODACTYLA","Cervidae","High","Low",1
