"","Species","Order","Family","transfC","IndNumber"
"1","Cerdocyon  thous","CARNIVORA","Canidae","Alta",24
"2","Cuniculus  paca","RODENTIA","Cuniculidae","Alta",10
"3","Dasypus  novemcinctus","CINGULATA","Dasypodidae","Alta",19
"4","Dasyprocta  punctata","RODENTIA","Dasyproctidae","Alta",2
"5","Didelphis  marsupialis","DIDELPHIMORPHIA","Didelphidae","Alta",7
"6","Puma  yagouaroundi","CARNIVORA","Felidae","Alta",1
"7","Eira  barbara","CARNIVORA","Mustelidae","Alta",5
"8","Tamandua  mexicana","PILOSA","Myrmecophagidae","Alta",1
"9","Notosciurus","RODENTIA","Sciuridae","Alta",1
