porcentaje de bosque;area cuenca ha;pendiente;temperatura promedio mensual;precipitacion promedio anual;indice;pendienteRegulacion;altitud;wyield;ws;dep;serie;region
0;37347.7;10.65864352;31.00425475;1394.042133;44.9629299;-0.6999622;229.5780945;728.8580057;10;bol;cereales medio;1
0;1069.67;7.955968007;31.27114033;1207.423641;38.61143624;-0.549336399;73.48313904;659.7503747;11;bol;cereales medio;1
0;1563.87;7.940550061;31.44421407;1219.54525;38.78440871;-0.557778049;83.59362793;626.9879835;13;bol;cereales medio;1
0;18131.3;9.187429018;32.45012221;1353.288181;41.70363897;-0.70157085;111.9420929;604.5228669;14;bol;cereales medio;1
0;10463.7;8.439163458;32.86586414;1304.180466;39.68191618;-0.681102581;115.1747894;602.2120739;15;bol;cereales medio;1
0;9247.02;8.926790518;32.70089372;1314.556395;40.19940269;-0.690441506;149.3002777;630.6646666;16;bol;cereales medio;1
0;12168.7;6.296587523;32.37622426;1223.07723;37.77701872;-0.632294138;74.7952652;547.2587621;17;bol;cereales medio;1
0;1154.99;5.029927697;31.41841401;1196.755929;38.09090836;-0.545124948;31.69630241;519.9564989;18;bol;cereales medio;1
0;1845.26;6.065169801;31.58294971;1224.21625;38.76193519;-0.621099954;68.87474823;564.1125548;19;bol;cereales medio;1
0;3689.19;3.999968925;31.00671974;1206.277287;38.90373755;-0.488241707;38.92639542;485.8870104;20;bol;cereales medio;1
0;638.945;4.800878758;31.15251967;1192.202386;38.26985421;-0.069022157;28.75091743;535.8072778;22;bol;cereales medio;1
55.61491743;19605.6;9.125402666;30.91524227;3991.823317;129.1215279;-0.93232688;102.4736023;2743.717415;2;bol;humedo;1
60.33429485;40848.5;9.12235097;30.22768466;4010.84988;132.6879622;-0.918586181;117.0733643;2724.682164;3;bol;humedo;1
40.78611626;15279.3;9.96574655;31.95776657;3965.977636;124.1005884;-0.8863172;125.4099197;2676.280082;4;bol;humedo;1
45.85934028;73688.4;8.679194884;32.06596141;3520.321774;109.7837588;-0.650582215;224.8914185;2371.70326;6;bol;humedo;1
66.02481434;8005.01;5.314496046;32.00308966;3046.603677;95.19717344;-0.509074294;94.08245087;1877.718243;7;bol;humedo;1
64.73404292;12734.4;7.076769424;31.59596729;3188.71456;100.921568;-0.598477632;125.0820694;2088.306447;8;bol;humedo;1
54.737152;4838.35;6.13157768;31.67305326;3181.510251;100.4484861;-0.580542325;71.50912476;2064.800298;9;bol;humedo;1
65.6513451;37347.7;10.65864352;31.38943203;3826.045329;121.8896005;-0.6999622;229.5780945;2666.27327;10;bol;humedo;1
68.04896328;1069.67;7.955968007;31.63616618;3124.849989;98.77461041;-0.549336399;73.48313904;2149.400117;11;bol;humedo;1
75.4778157;1563.87;7.940550061;31.65522413;3116.228618;98.44279117;-0.557778049;83.59362793;2053.245791;13;bol;humedo;1
34.73813882;18131.3;9.187429018;32.65184251;3628.361699;111.1227245;-0.70157085;111.9420929;2393.775616;14;bol;humedo;1
27.21706817;10463.7;8.439163458;33.17796476;3483.29249;104.9881304;-0.681102581;115.1747894;2312.169546;15;bol;humedo;1
33.11267836;9247.02;8.926790518;33.04596932;3514.022854;106.337412;-0.690441506;149.3002777;2379.222357;16;bol;humedo;1
32.93784608;12168.7;6.296587523;32.69073968;3122.020937;95.50169154;-0.632294138;74.7952652;1979.798994;17;bol;humedo;1
32.51963653;1154.99;5.029927697;31.55925297;2825.848047;89.54103094;-0.545124948;31.69630241;1581.926998;18;bol;humedo;1
61.47726725;1845.26;6.065169801;31.63237935;2883.066283;91.14288404;-0.621099954;68.87474823;1774.434405;19;bol;humedo;1
33.61474263;3689.19;3.999968925;31.32849953;2918.231776;93.14942686;-0.488241707;38.92639542;1501.26709;20;bol;humedo;1
34.35189061;638.945;4.800878758;31.55974215;2983.532147;94.53601152;-0.069022157;28.75091743;1689.3093;22;bol;humedo;1
55.61491743;19605.6;9.125402666;30.60718538;1837.55357;60.03667267;-0.93232688;102.4736023;996.5349226;2;bol;medio;1
60.33429485;40848.5;9.12235097;29.9592978;1841.526868;61.46762452;-0.918586181;117.0733643;956.8074416;3;bol;medio;1
40.78611626;15279.3;9.96574655;31.80271021;1679.969231;52.82471902;-0.8863172;125.4099197;814.225652;4;bol;medio;1
45.85934028;73688.4;8.679194884;31.7379388;1267.816553;39.94640486;-0.650582215;224.8914185;562.2758356;6;bol;medio;1
66.02481434;8005.01;5.314496046;31.75440355;1011.242437;31.84573867;-0.509074294;94.08245087;329.4245606;7;bol;medio;1
64.73404292;12734.4;7.076769424;31.15054082;1179.252151;37.85655465;-0.598477632;125.0820694;512.8824093;8;bol;medio;1
54.737152;4838.35;6.13157768;31.22743338;1162.124156;37.21484702;-0.580542325;71.50912476;495.2179069;9;bol;medio;1
65.6513451;37347.7;10.65864352;31.00425475;1394.042133;44.9629299;-0.6999622;229.5780945;671.2600942;10;bol;medio;1
68.04896328;1069.67;7.955968007;31.27114033;1207.423641;38.61143624;-0.549336399;73.48313904;611.7745233;11;bol;medio;1
75.4778157;1563.87;7.940550061;31.44421407;1219.54525;38.78440871;-0.557778049;83.59362793;572.5738623;13;bol;medio;1
34.73813882;18131.3;9.187429018;32.45012221;1353.288181;41.70363897;-0.70157085;111.9420929;573.6169132;14;bol;medio;1
27.21706817;10463.7;8.439163458;32.86586414;1304.180466;39.68191618;-0.681102581;115.1747894;581.2937096;15;bol;medio;1
33.11267836;9247.02;8.926790518;32.70089372;1314.556395;40.19940269;-0.690441506;149.3002777;605.424128;16;bol;medio;1
32.93784608;12168.7;6.296587523;32.37622426;1223.07723;37.77701872;-0.632294138;74.7952652;523.7541361;17;bol;medio;1
32.51963653;1154.99;5.029927697;31.41841401;1196.755929;38.09090836;-0.545124948;31.69630241;495.4892465;18;bol;medio;1
61.47726725;1845.26;6.065169801;31.58294971;1224.21625;38.76193519;-0.621099954;68.87474823;518.6502881;19;bol;medio;1
33.61474263;3689.19;3.999968925;31.00671974;1206.277287;38.90373755;-0.488241707;38.92639542;461.3388688;20;bol;medio;1
34.35189061;638.945;4.800878758;31.15251967;1192.202386;38.26985421;-0.069022157;28.75091743;514.4329251;22;bol;medio;1
0;19605.6;9.125402666;30.91524227;3991.823317;129.1215279;-0.93232688;102.4736023;2786.471893;2;bol;mosaico humedo;1
0;40848.5;9.12235097;30.22768466;4010.84988;132.6879622;-0.918586181;117.0733643;2770.251198;3;bol;mosaico humedo;1
0;15279.3;9.96574655;31.95776657;3965.977636;124.1005884;-0.8863172;125.4099197;2708.916885;4;bol;mosaico humedo;1
