"","Guajira","Bolivar","Valle","Huila","TolimaS","Cesar","Tolima","Antioquia","Patia"
"Celtigua",0,5,0,3,0,0,1,0,0
"Chlomang",0,16,1,0,0,0,6,0,0
"Guarsp",0,0,0,0,0,0,8,0,0
"Cynoampl",0,0,6,0,0,0,1,0,0
"Daphamer",0,0,0,0,0,0,1,0,0
"Erythond",0,0,0,0,0,0,10,0,0
"Eugesp1",1,0,0,0,0,0,55,0,0
"Neeadiva",0,0,0,0,0,0,5,0,0
"Swarsimp",0,5,0,0,0,0,19,0,0
"Tricpall",0,1,28,0,0,0,12,0,0
"Zantcari",0,0,8,0,0,0,1,0,0
"Guatanom",0,0,0,0,0,0,1,0,0
"Eugeproc",0,2,495,194,312,0,0,417,0
"Zantverr",0,0,86,0,0,0,0,0,0
"Annomuri",0,0,23,0,0,0,0,0,0
"Sapisapo",0,0,23,13,1,2,0,0,0
"Lycomexi",0,0,29,0,1,0,0,0,0
"Triceleg",0,0,198,0,0,0,0,0,0
"Pipesp5",0,0,29,0,0,0,0,0,0
"Critmori",0,0,52,0,0,0,0,0,0
"Sambnigr",0,0,7,0,0,0,0,0,0
"Pithdulc",0,0,43,0,16,0,0,0,0
"Buncpseu",0,0,100,5,0,0,2,0,0
"Ptersp4",0,0,3,0,0,0,0,0,0
"Cluscoch",0,0,39,0,0,0,0,0,0
"Cascthev",0,0,5,0,0,0,0,0,0
"Pipeauri",0,0,10,0,0,0,0,0,0
"Tricgiga",0,0,63,0,0,0,0,0,0
"Oenosp",0,0,1,0,0,0,0,0,0
"Cithkunt",0,0,39,0,0,0,0,12,0
"Zantfaga",0,0,45,0,0,0,0,4,348
"Vachfarn",0,0,7,0,0,13,0,45,0
"Vachmacr",0,0,13,0,0,0,0,0,0
"Guapcost",0,0,80,26,0,0,0,0,0
"Murrpani",0,0,149,0,0,0,0,0,0
"Bignsp",0,0,9,0,0,0,0,0,0
"Chioalba",0,0,1,0,0,0,0,0,0
"Crotsp2",0,0,8,0,0,0,0,0,0
"Ficusp2",0,26,5,0,5,0,0,0,0
"Machsp13",0,0,1,0,0,0,0,0,0
"Tricocta",0,0,3,0,0,0,0,0,0
"Indet30",0,0,1,0,0,0,0,0,0
"Indet147",0,1,1,0,0,0,0,0,0
"Mandbogo",0,0,1,0,0,0,0,0,0
"Zantgent",0,0,22,0,0,0,0,0,0
"Cynopoly",0,0,1,8,0,1,0,0,0
"Buncsp",0,0,92,0,0,0,0,0,0
"Pisoacul",0,11,6,0,0,0,0,52,0
"Lantcama",0,0,2,0,0,0,0,0,0
"Euphcoti",0,0,9,9,0,0,0,0,0
"Vernpate",0,0,6,0,0,0,0,0,0
"Casesp1",0,49,0,0,0,0,0,0,0
"Ptersp3",0,1,0,0,0,0,0,0,0
"Zantsp1",0,1,0,0,0,0,0,0,0
"Myrcfall",1,51,187,132,149,4,18,0,0
"Pteracap",0,1,0,0,0,51,0,0,0
"Albiniop",0,21,0,4,0,0,0,26,0
"Bactsp2",0,166,0,0,0,0,0,0,0
"Sennsp2",0,3,0,0,0,1,0,0,0
"Rourglab",0,4,0,0,0,0,0,0,0
"Stigcolu",0,1,0,0,0,0,0,0,0
"Chomspin",0,141,0,48,0,4,0,35,0
"Gustsupe",0,58,0,0,0,0,0,0,0
"Burssima",0,3,0,0,0,2,0,22,0
"Machsp1",0,3,0,0,0,0,0,0,0
"Randsp6",0,7,0,0,0,0,0,0,0
"Machsp2",2,8,0,0,0,0,0,0,0
"Coccacum",1,5,0,0,0,0,0,0,0
"Coccobov",0,2,0,0,40,0,1,0,0
"Schipara",0,3,0,0,0,0,0,0,0
"Cecrpelt",0,9,0,5,6,6,3,1,0
"Ficusp4",0,3,0,0,0,0,0,0,0
"Fabasp1",0,3,0,0,0,2,0,0,0
"Pitttric",12,5,0,0,0,0,0,0,0
"Cyrtvelu",0,2,0,0,0,0,0,0,0
"Pithungu",0,2,0,0,0,0,0,0,0
"Sapisp1",0,1,0,0,0,0,0,0,0
"Piptflav",0,13,0,0,0,0,0,0,0
"Ampemacp",0,99,0,0,0,0,0,0,0
"Stylmicr",0,1,0,0,0,10,0,0,0
"Rudgcorn",0,2,0,0,0,0,0,0,0
"Plathebe",1,7,0,0,0,1,0,0,0
"Cryokalb",0,10,0,0,0,0,0,0,0
"Oxansp",0,5,0,0,0,0,0,0,0
"Petrvolu",0,3,0,0,0,22,0,0,0
"Triccari",0,3,0,0,0,0,0,0,0
"Callmagd",0,3,0,0,0,1,0,0,0
"Mayngran",0,1,0,0,0,0,0,0,0
"Apocsp1",0,2,0,0,0,0,0,0,0
"Garcbent",0,2,0,0,0,0,0,0,0
"Tripsp1",0,1,0,0,0,0,0,0,0
"Justbrac",0,1,0,0,0,0,0,0,0
"Melioliv",0,5,0,0,0,0,0,0,0
"Maytlong",0,1,0,0,0,0,0,0,0
"Huracrep",0,2,0,0,0,5,0,15,0
"Indet18",0,1,0,0,0,1,0,0,0
"Cappfron",0,31,0,0,0,1,0,0,0
"Ingasp4",0,3,0,0,0,0,0,0,0
"Saposp",0,1,0,0,0,0,0,0,0
"Couthexa",0,3,0,20,52,0,50,0,0
"Swarsp1",0,3,0,0,0,0,0,0,0
"Chryvene",0,8,0,0,0,0,0,0,0
"Manizapo",0,3,0,0,0,0,0,0,0
"Dilocost",0,7,0,2,0,0,0,0,0
"Astesp",0,5,0,0,0,0,0,0,0
"Connsp",0,2,0,0,0,0,0,0,0
"Ulmasp",0,8,0,0,0,0,0,0,0
"Urtisp",0,24,0,0,0,0,0,0,0
"Aspisp2",0,2,0,0,0,0,0,0,0
"Ptercolo",5,2,0,0,0,0,0,0,0
"Poutsp3",0,4,0,0,0,0,0,0,0
"Sterapet",0,12,1,0,0,1,0,0,0
"Cynohast",0,2,0,0,0,0,0,0,0
"Indet199",0,1,0,0,0,0,0,0,0
"Indet200",0,1,0,0,0,0,0,0,0
"Casesp2",0,0,0,15,0,0,0,0,0
"Petrpube",0,0,0,42,56,0,0,0,0
"Esenalat",0,0,0,9,0,0,0,0,0
"Secucori",0,0,0,14,0,0,0,0,0
"Indet41",0,0,0,1,0,0,0,0,0
"Handochr",0,0,0,17,38,0,0,0,0
"Indet53",0,0,0,1,0,0,0,0,0
"Zantsp4",0,0,0,5,0,0,0,0,0
"Eugeflor",0,0,0,85,25,0,0,0,0
"Indet57",0,0,0,2,0,1,0,0,0
"Indet59",0,0,0,1,0,0,0,0,0
"Indet62",0,0,0,3,0,1,0,0,0
"Indet89",0,0,0,2,0,0,0,0,0
"Swarsp4",0,0,0,5,0,0,0,0,0
"Banaibag",0,0,0,44,15,0,1,0,0
"Apocsp2",0,0,0,1,0,0,0,0,0
"Indet190",0,0,0,2,0,0,0,0,0
"Indet223",0,0,0,1,0,0,0,0,0
"Indet227",0,0,0,1,0,0,0,0,0
"Pseusept",0,1,0,4,1,1,10,2,0
"Laursp7",0,0,0,108,0,0,0,0,0
"Hirtamer",0,3,0,57,0,0,0,0,0
"Ficusp8",0,0,0,2,0,0,0,0,0
"Cupacine",0,0,0,9,0,0,0,0,0
"Callacum",0,0,0,29,0,0,0,0,0
"Bactsp4",0,0,0,1,0,0,0,0,0
"Mabemont",0,0,0,3,4,0,3,0,0
"Xyloarom",0,0,0,54,2,2,1,0,0
"Curaamer",0,0,0,5,26,0,0,0,0
"Maprguia",0,0,0,1,0,0,0,0,0
"Tapiguia",0,0,0,7,0,0,0,0,0
"Ixorfinl",0,0,0,2,1,0,0,0,0
"Ficusp7",0,0,0,2,0,0,0,0,0
"Fridpube",0,0,0,12,0,0,0,0,0
"Tetrsp2",0,0,0,4,0,0,0,0,0
"Erytmacr",0,0,0,16,0,0,6,0,0
"Annorufi",0,0,0,18,0,0,1,0,0
"Ingasp9",0,0,0,2,0,0,0,0,0
"Cinntrip",0,0,28,63,0,1,0,0,0
"Indet27",0,0,0,1,0,0,0,0,0
"Ficusp5",0,0,0,1,0,0,0,0,0
"Gouasp",0,0,0,1,0,0,0,0,0
"Casesp3",0,0,0,1,0,0,0,0,0
"Cupalati",0,0,0,0,8,0,19,0,0
"Piptdisc",0,0,0,0,0,0,4,0,0
"Rondpube",0,6,0,0,0,9,10,0,0
"Prosjuli",0,0,0,0,0,0,5,0,0
"Apeitibo",0,0,0,0,0,0,10,0,0
"Ormosp1",0,0,0,0,0,0,6,0,0
"Eugeunif",0,0,0,0,0,0,15,0,0
"Petrrugo",0,0,0,24,0,0,8,0,0
"Taberose",0,0,0,0,0,0,3,0,0
"Neeaampl",0,0,0,0,0,0,6,0,0
"Machmicr",0,0,0,0,0,0,22,4,0
"Jacahesp",0,0,0,0,0,0,10,0,0
"Alibsp",0,0,0,0,0,0,3,0,0
"Stylturb",0,3,0,7,13,1,34,0,0
"Vititili",0,0,0,0,0,0,1,0,0
"Ingasp",0,0,0,0,0,0,9,0,0
"Pipemarg",0,0,0,0,0,0,72,0,0
"Diloeleg",0,0,0,0,0,0,1,0,0
"Sorotrop",0,0,0,0,0,0,10,0,0
"Protmacr",0,0,0,0,0,0,2,0,0
"Banaguia",11,0,0,0,0,0,1,0,0
"Posolati",0,0,0,0,0,0,4,0,0
"Aracdisc",0,0,0,0,0,0,1,0,0
"Guatsp",0,0,0,0,0,0,5,0,0
"Batocost",0,0,0,0,0,0,5,0,0
"Casecomb",0,0,0,0,0,0,8,0,0
"Phylbotr",0,0,0,0,0,0,0,575,0
"Jatrgoss",0,0,0,0,0,0,0,16,329
"Sennspec",0,0,0,0,0,0,0,3,0
"Entecycl",0,0,0,0,0,0,0,9,0
"Gyroamer",0,0,0,0,0,7,0,21,0
"Quadindi",0,0,0,0,0,0,0,15,0
"Margmicr",0,0,0,0,0,0,0,34,0
"Annosqua",0,0,0,0,0,0,0,17,0
"Humbarbo",0,0,0,0,0,0,0,8,0
"Rosechry",0,0,0,0,0,0,0,4,0
"Machmori",0,0,0,0,0,0,0,26,0
"Cnidtubu",0,0,0,0,0,0,0,22,0
"Guetmala",0,1,0,0,0,0,0,242,0
"Platpinn",0,0,0,0,0,0,0,38,0
"Clusmino",0,0,0,0,0,0,5,1,0
"Aspicusp",0,0,0,1,3,0,0,25,0
"Cordsp",0,0,0,0,0,0,0,3,0
"Sennobtu",0,0,0,0,0,0,0,4,21
"Combspin",0,11,0,0,0,0,0,0,0
"Quarsp2",0,4,0,0,0,0,0,0,0
"Quasamar",0,2,0,0,0,0,0,0,0
"Tabesp",0,24,0,0,0,0,0,0,0
"Chamalti",0,11,0,0,0,1,0,0,0
"Xylosp1",0,5,0,0,0,0,0,0,0
"Aegilaet",18,3,0,0,0,0,0,1,0
"Rinosp",0,2,0,0,0,0,0,0,0
"Machsp3",0,3,0,0,0,0,0,0,0
"Indet91",0,1,0,0,0,1,0,0,0
"Bignsp2",0,8,0,0,0,9,0,0,0
"Cordsp2",0,1,0,0,0,0,0,0,0
"Randsp5",0,2,0,0,0,0,0,0,0
"Plateleg",0,1,0,0,0,0,0,0,0
"Quarsp1",0,2,0,0,0,0,0,0,0
"Alseblac",0,4,0,0,0,0,0,0,0
"Alibedul",0,1,0,0,0,0,0,0,0
"Loncatro",0,10,0,0,0,0,0,0,0
"Ingasp3",28,1,0,0,0,0,0,0,0
"Sipaguia",0,1,0,0,0,0,0,0,0
"Annosp2",0,8,0,0,0,0,0,0,0
"Allorace",0,6,0,1,0,1,0,0,0
"Nectsp1",0,1,0,0,0,3,0,0,0
"Randarma",0,2,0,0,2,0,0,0,0
"Ardifoet",0,1,0,0,0,0,0,0,0
"Ingasp5",0,1,0,0,0,0,0,0,0
"Senndari",0,0,2,0,0,0,0,0,0
"Oreoacer",0,0,3,0,0,0,0,0,0
"Pereangu",0,0,40,0,0,0,0,0,0
"Ficuobtu",0,0,2,0,0,0,0,0,0
"Annoquin",0,0,15,0,0,0,0,0,0
"Toxistri",0,0,2,0,0,0,0,0,0
"Nectline",0,0,2,0,65,0,0,0,0
"Pipesp4",0,0,5,0,0,0,0,0,0
"Hamepate",0,0,21,0,0,0,1,0,0
"Coffarab",0,0,15,0,0,0,0,0,0
"Chryarge",0,0,32,0,0,0,3,0,0
"Indet156",0,0,1,0,0,0,0,0,0
"Ingasp10",0,0,31,0,0,0,0,0,0
"Myrslati",0,0,31,0,0,0,0,0,0
"Calllehm",0,0,57,0,0,0,0,0,0
"Steiglan",0,0,1,0,0,0,0,0,0
"Fabasp3",0,0,2,0,0,0,0,0,0
"Callpitt",0,0,1,0,0,0,0,0,0
"Cosmgran",0,0,1,0,0,0,0,0,0
"Zantsp5",0,0,4,0,0,0,0,0,0
"Zantsp3",0,0,1,0,0,0,0,0,0
"Ingasp11",0,0,19,0,0,0,0,0,0
"Indet28",0,0,1,0,0,0,0,0,0
"Persamer",0,0,1,0,0,3,0,0,0
"Lanthaug",0,0,0,0,0,0,0,0,34
"Vachpenn",0,0,0,0,0,0,0,0,105
"Caescass",0,0,0,0,0,0,0,0,33
"Erytjaim",0,0,0,0,0,0,0,0,27
"Cynosp",0,0,0,0,0,0,0,0,138
"Schafrut",0,0,0,0,0,0,0,0,2
"Handchry",0,0,0,1,24,27,0,0,583
"Burstome",0,0,0,6,3,0,0,4,5
"Cniduren",0,0,0,0,0,0,0,0,13
"Laursp1",8,0,0,0,0,0,0,0,0
"Tetrvolu",23,0,0,0,0,4,0,0,0
"Marssp",1,0,0,0,0,0,0,0,0
"Ixorflor",3,0,0,0,0,0,0,0,0
"Schnguia",3,0,0,0,0,0,0,0,0
"Vitecomp",1,0,0,0,0,5,0,0,0
"Rudgsp",1,0,0,0,0,0,0,0,0
"Garcnuta",1,0,0,0,0,0,0,0,0
"Sabamaur",2,0,0,0,0,0,0,0,0
"Parasinu",2,0,0,0,0,0,0,0,0
"Indet87",1,0,0,0,0,0,0,0,0
"Poutsp1",5,0,0,0,0,0,0,0,0
"Ptersp2",1,0,0,0,0,0,0,0,0
"Luehspec",21,0,0,0,0,0,0,0,0
"Crescuje",0,0,0,0,1,0,0,0,0
"Cappsp2",0,0,0,0,3,0,0,0,0
"Muntcala",0,0,0,0,4,0,0,0,0
"Matasp",0,0,0,0,1,0,0,0,0
"Courferr",0,43,0,0,0,1,0,0,0
"Trigsp",0,1,0,0,0,0,0,0,0
"Indet31",0,1,0,0,0,0,0,0,0
"Caseprae",0,2,0,0,0,4,0,177,0
"Schnsp1",0,4,0,0,0,0,0,0,0
"Acalvill",0,6,0,9,0,0,0,0,0
"Pterrohr",0,1,0,0,0,0,0,0,0
"Guapsp2",0,4,0,0,0,0,0,0,0
"Schnsp2",0,3,0,0,0,0,0,0,0
"Brosguia",0,6,0,0,0,0,0,0,0
"Galisp",0,2,0,0,0,0,0,0,0
"Machsp10",0,1,0,0,0,0,0,0,0
"Swarsp2",0,20,0,0,0,0,0,0,0
"Senetama",0,2,0,0,0,13,0,0,0
"Senesp",0,4,0,0,0,0,0,0,0
"Indet122",0,1,0,0,0,0,0,0,0
"Indet134",0,2,0,0,0,0,0,0,0
"Indet138",0,2,0,1,0,0,0,0,0
"Cupasp1",0,17,0,0,0,0,0,0,0
"Indet82",0,1,0,0,0,0,0,0,0
"Indet83",0,1,0,0,0,0,0,0,0
"Fabasp2",0,1,0,0,0,6,0,0,0
"Verbsp",0,1,0,0,0,0,0,0,0
"Indet125",0,1,0,0,0,0,0,0,0
"Schnsp3",0,1,0,0,0,0,0,0,0
"Paulsp",0,1,0,0,0,0,0,0,0
"Myrofrut",0,2,0,0,0,0,0,0,0
"Cordsp3",0,3,0,0,0,0,0,0,0
"Glirsepi",0,17,0,0,0,1,0,0,0
"Sennsp3",0,3,0,0,0,0,0,0,0
"Seneripa",0,3,0,0,0,0,0,2,0
"Secudive",0,1,0,0,0,0,0,0,0
"Ptersp1",0,4,0,0,0,0,0,0,0
"Indet10",0,0,0,0,0,2,0,0,0
"Stigsp",0,0,0,0,0,4,0,0,0
"Tripsp2",0,0,0,0,0,4,0,0,0
"Pogospec",0,0,0,0,0,19,0,0,0
"Cavaplat",0,0,0,0,0,6,0,0,0
"Indet51",0,0,0,0,0,1,0,0,0
"Hamesp",0,0,0,0,0,5,0,0,0
"Abutgiga",0,0,0,0,0,1,0,0,0
"Jacasp",0,0,0,0,0,1,0,0,0
"Indet71",0,0,0,0,0,1,0,0,0
