"","Guajira","Bolivar","Valle","Huila","TolimaS","Cesar","Tolima","Antioquia","Patia"
"Ochrpyra",2,0,0,0,0,0,1,0,0
"Bixaorel",8,0,0,0,0,0,0,0,0
"Cordsp1",6,0,0,0,0,0,0,0,0
"Indet47",1,0,0,0,0,0,0,0,0
"Indet48",1,0,0,0,0,0,0,0,0
"Indet72",1,0,0,0,0,0,0,0,0
"Indet76",1,0,0,0,0,0,0,0,0
"Indet81",1,0,0,0,0,0,0,0,0
"Indet90",1,0,0,0,0,0,0,0,0
"Indet139",2,0,0,0,0,0,0,0,0
"Abutibar",0,0,0,0,0,0,0,0,4
"Crotlept",0,0,0,0,0,0,0,1,0
"Zantmart",0,0,0,0,0,0,0,25,0
"Sponradl",0,0,0,0,0,0,0,2,0
"Eugesp",0,0,0,0,0,0,0,1,0
"Aralexce",0,0,0,0,0,0,0,11,0
"Paulcuru",0,0,0,0,0,0,0,5,0
"Hymecour",0,0,0,0,0,0,0,4,0
"Forsaffi",0,0,0,0,0,0,0,10,0
"Pipepioj",0,0,0,0,0,0,0,10,0
"Urercara",0,0,0,0,0,0,0,5,0
"Pipetube",0,0,0,0,0,0,0,1,0
"Machsp11",0,0,0,2,0,0,0,0,0
"Xylosp3",0,0,0,1,0,0,0,0,0
"Zantlent",0,0,0,4,0,0,0,0,0
"Clussp1",0,0,0,1,0,0,0,0,0
"Zantacum",0,0,0,6,0,0,0,0,0
"Pachsuba",0,0,0,1,0,0,0,0,0
"Eugeflav",0,0,0,5,0,0,0,0,0
"Indet144",0,0,0,1,0,0,0,0,0
"Bauhpict",0,0,0,0,0,0,1,0,0
"Dalbfrut",0,0,0,0,0,0,1,0,0
"Vismbacc",0,0,0,0,0,0,5,0,0
"Sennmult",0,0,0,0,0,0,1,0,0
"Lepisp",0,0,0,0,0,0,1,0,0
"Termamaz",0,0,0,0,0,3,9,0,0
"Cuparufe",0,0,0,0,0,0,1,0,0
"Acalmacr",0,0,0,0,0,4,1,0,0
"Guadangu",0,0,0,0,0,0,129,0,0
"Dendcauc",0,0,0,0,0,0,15,0,0
"Psycmicr",0,0,0,0,0,0,1,0,0
"Ormosp3",0,0,0,0,0,0,1,0,0
"Ficusp",0,0,0,0,0,0,1,0,0
"Annosp",0,0,0,0,0,0,1,0,0
"Swarampl",0,0,0,0,0,0,5,0,0
"Desmorth",0,0,0,0,0,0,1,0,0
"Ocotlong",0,0,0,0,0,0,9,0,0
"Aiphacul",0,0,0,0,0,0,15,0,0
"Cespspat",0,0,0,0,0,0,7,0,0
"Urerverr",0,0,0,0,0,0,2,0,0
"Mucuuren",0,0,0,0,0,0,1,0,0
"Cupasylv",0,0,0,0,0,0,2,0,0
"Tabemark",0,0,0,0,0,0,1,0,0
"Ocotalni",0,0,0,0,0,0,2,0,0
"Hasssp",0,0,0,0,0,0,2,0,0
"Callterg",0,0,0,0,0,0,74,0,0
"Ormosp2",0,0,0,0,0,0,2,0,0
"Aphesp",0,0,0,0,0,3,1,0,0
"Laursp5",0,0,0,18,0,0,0,0,0
"Ingasp8",0,0,0,1,0,0,0,0,0
"Sipasess",0,0,0,2,0,0,0,0,0
"Helispru",0,0,0,2,0,0,0,0,0
"Sapisp2",0,0,0,1,0,0,0,0,0
"Cupasp2",0,0,0,7,0,0,0,0,0
"Pilogoud",0,0,0,104,0,0,0,0,0
"Laursp6",0,0,0,20,0,0,0,0,0
"Indet22",0,0,0,1,0,0,0,0,0
"Myrssp",0,0,0,5,0,0,0,0,0
"Indet50",0,0,0,1,0,0,0,0,0
"Clussp2",0,0,0,7,0,0,0,0,0
"Petrmayn",0,0,0,16,0,0,0,0,0
"Ficusp6",0,0,0,3,0,0,0,0,0
"Pithlanc",0,0,0,28,0,0,0,0,0
"Indet7",0,0,0,1,0,0,0,0,0
"Vascgoud",0,0,0,1,0,0,0,0,0
"Vachsp",0,0,0,1,0,0,0,0,0
"Bonatric",0,0,0,0,0,0,0,3,0
"Hirasp",0,0,0,0,0,0,0,6,0
"Nectlaur",0,0,0,0,0,8,0,0,0
"Annosp4",0,0,0,0,0,2,0,0,0
"Parasp",0,0,0,0,0,4,0,0,0
"Peltsp",0,0,0,0,0,1,0,0,0
"Cestschl",0,0,0,0,0,1,0,0,0
"Esenpent",0,0,0,0,0,7,0,0,0
"Poutdurl",0,0,0,0,0,11,0,0,0
"Swarsp3",0,0,0,0,0,2,0,0,0
"Browsp",0,0,0,0,0,4,0,0,0
"Pachquin",0,0,0,0,0,2,0,0,0
"Ingasp7",0,0,0,0,0,4,0,0,0
"Bactsp3",0,0,0,0,0,1,0,0,0
"Ipombata",0,0,0,0,0,3,0,0,0
"Pipesp2",0,0,0,0,0,1,0,0,0
"Nectcusp",0,0,0,0,0,1,0,0,0
"Erytsp1",0,0,0,0,0,8,0,0,0
"Crotsp1",0,0,0,0,0,4,0,0,0
"Ingasp6",0,0,0,0,0,5,0,0,0
"Solasp2",0,0,0,0,0,1,0,0,0
"Zygisp",0,0,0,0,0,14,0,0,0
"Soursymp",0,0,0,0,0,2,0,0,0
"Tetrsp1",0,0,0,0,0,2,0,0,0
"Andiiner",0,0,0,0,0,3,0,0,0
"Chiocomp",0,0,0,0,0,4,0,0,0
"Clusuvit",0,0,0,0,0,1,0,0,0
"Erytsp2",0,0,0,0,0,4,0,0,0
"Mucumuti",0,0,0,0,0,2,0,0,0
"Banisp1",0,0,0,0,0,2,0,0,0
"Piptsp",0,0,0,0,0,1,0,0,0
"Salasp1",0,0,0,0,0,2,0,0,0
"Cassgran",0,0,0,0,0,1,0,0,0
"Indet6",0,0,0,0,0,1,0,0,0
"Chrosp",0,0,0,0,0,2,0,0,0
"Morasp",0,0,0,0,0,2,0,0,0
"Henrgoud",0,0,0,0,0,1,0,0,0
"Pipesp1",0,0,0,0,0,1,0,0,0
"Pipeadun",0,0,0,0,0,3,0,0,0
"Pachsess",0,0,0,0,0,2,0,0,0
"Indet95",0,0,0,0,0,1,0,0,0
"Indet98",0,0,0,0,0,1,0,0,0
"Erytfusc",0,0,0,0,2,0,0,0,0
"Randsp3",0,0,0,0,4,0,0,0,0
"Zantquin",0,0,0,0,8,0,0,0,0
"Neeaspru",0,0,0,0,1,0,0,0,0
"Apocsp3",0,0,0,0,1,0,0,0,0
